time, note, velocity
3.177798, 67, 69
4.123872, 65, 46
4.138604, 64, 72
4.156629, 67, 0
4.216426, 64, 0
4.384456, 64, 72
4.463678, 65, 0
4.637605, 62, 68
4.673879, 64, 0
4.923499, 62, 0
4.924700, 60, 76
5.195683, 67, 78
5.201567, 60, 0
6.140879, 65, 80
6.164551, 67, 0
6.396507, 64, 81
6.470565, 65, 0
6.659452, 62, 83
6.681554, 64, 0
6.919409, 60, 83
6.927431, 62, 0
7.171874, 64, 81
7.191510, 60, 0
7.416479, 65, 78
7.450367, 64, 0
7.664603, 67, 93
7.728494, 65, 0
7.827493, 67, 0
8.197055, 65, 75
8.393506, 65, 0
8.739316, 64, 83
8.947341, 64, 0
9.267952, 62, 78
9.455393, 62, 0
9.795269, 67, 85
10.035299, 67, 0
10.353503, 64, 63
10.366375, 65, 72
10.483482, 65, 0
10.561580, 64, 0
10.889400, 60, 84
11.095292, 60, 0
11.443319, 67, 87
12.512281, 67, 0
12.521312, 65, 77
12.771663, 64, 76
12.844343, 65, 0
13.067487, 62, 87
13.090344, 64, 0
13.328843, 59, 66
13.329047, 60, 72
13.337304, 62, 0
13.547357, 59, 0
13.599244, 67, 83
13.624272, 60, 0
14.618317, 65, 77
14.708053, 67, 0
14.892777, 64, 79
15.024137, 65, 0
15.160010, 62, 81
15.171218, 64, 0
15.413375, 60, 89
15.431297, 62, 0
15.683140, 64, 84
15.697225, 60, 0
15.931623, 65, 75
15.968258, 64, 0
16.187083, 67, 89
16.239290, 65, 0
16.372307, 67, 0
16.701033, 65, 77
16.901213, 65, 0
17.216689, 64, 81
17.411093, 64, 0
17.734225, 62, 78
17.928211, 62, 0
18.261665, 67, 83
18.475314, 67, 0
18.859204, 60, 100
19.676937, 60, 0
19.998134, 67, 93
21.071182, 65, 82
21.081062, 67, 0
21.353483, 64, 73
21.375994, 65, 0
21.641230, 62, 86
21.657185, 64, 0
21.880146, 60, 91
21.898905, 62, 0
22.154952, 67, 91
22.187025, 60, 0
23.200619, 65, 83
23.250758, 67, 0
23.470741, 64, 72
23.534013, 65, 0
23.740949, 62, 69
23.793976, 64, 0
23.986961, 60, 79
24.006921, 62, 0
24.246821, 64, 83
24.256907, 60, 0
24.489844, 65, 78
24.528951, 64, 0
24.745349, 67, 82
24.812823, 65, 0
24.901904, 67, 0
25.276876, 65, 78
25.461039, 65, 0
25.823023, 64, 81
26.023846, 64, 0
26.374611, 62, 84
26.561749, 62, 0
26.921832, 67, 64
27.147917, 67, 0
27.513792, 64, 40
27.519119, 65, 41
27.621749, 65, 0
27.710059, 64, 0
28.065785, 60, 63
28.251796, 60, 0
28.601813, 67, 75
29.633831, 65, 38
29.662937, 67, 0
29.897655, 64, 69
29.963747, 65, 0
30.192758, 62, 73
30.211605, 64, 0
30.454115, 60, 86
30.470927, 62, 0
30.716495, 67, 82
30.733498, 60, 0
31.753276, 65, 27
31.804784, 67, 0
32.020668, 64, 75
32.116699, 65, 0
32.289614, 62, 73
32.330684, 64, 0
32.527516, 60, 76
32.548617, 62, 0
32.801607, 64, 79
32.812683, 60, 0
33.041138, 65, 75
33.064638, 64, 0
33.302848, 67, 89
33.344675, 65, 0
33.482799, 67, 0
33.839815, 65, 72
34.019509, 65, 0
34.366774, 64, 84
34.557603, 64, 0
34.897906, 62, 86
35.084621, 62, 0
35.439512, 67, 80
35.624490, 67, 0
35.988765, 60, 97
36.974577, 60, 0
37.211934, 67, 98
38.406627, 65, 74
38.470351, 67, 0
38.675462, 64, 79
38.745359, 65, 0
38.949449, 62, 86
38.983443, 64, 0
39.218645, 60, 86
39.245453, 62, 0
39.502684, 67, 89
39.527479, 60, 0
40.602287, 65, 80
40.877686, 67, 0
40.880866, 64, 78
40.950367, 65, 0
41.151420, 62, 79
41.189277, 64, 0
41.417561, 60, 89
41.430386, 62, 0
41.684402, 64, 81
41.698436, 60, 0
41.937427, 65, 80
41.986253, 64, 0
42.189303, 67, 91
42.263207, 65, 0
42.365144, 67, 0
42.738319, 65, 77
42.929264, 65, 0
43.289254, 64, 87
43.487222, 64, 0
43.841253, 62, 86
44.039279, 62, 0
44.388204, 67, 87
44.606193, 67, 0
44.949609, 64, 70
44.952059, 65, 71
45.118329, 65, 0
45.144143, 64, 0
45.505179, 60, 91
45.707336, 60, 0
46.071340, 67, 78
46.105188, 65, 39
46.185296, 65, 0
47.148547, 65, 80
47.177040, 67, 0
47.410647, 64, 66
47.424327, 65, 0
47.677211, 62, 75
47.702105, 64, 0
47.931419, 60, 84
47.940091, 62, 0
48.185024, 60, 0
48.201181, 67, 80
49.175984, 67, 0
49.205173, 65, 67
49.476163, 64, 79
49.528131, 65, 0
49.758146, 62, 84
49.758876, 64, 0
50.001131, 60, 81
50.024118, 62, 0
50.231962, 60, 0
50.257074, 64, 81
50.510100, 65, 74
50.525830, 64, 0
50.756001, 67, 82
50.797901, 65, 0
50.918959, 67, 0
51.285197, 65, 83
51.449476, 65, 0
51.808125, 64, 95
51.978919, 64, 0
52.359619, 62, 98
52.572879, 62, 0
52.905010, 67, 83
53.147874, 67, 0
53.485041, 60, 108
54.212009, 60, 0
54.626602, 67, 105
55.714186, 65, 43
55.743962, 67, 0
56.017981, 64, 64
56.078857, 65, 0
56.294129, 62, 72
56.321843, 64, 0
56.905887, 62, 0
56.910160, 67, 83
57.987769, 65, 67
58.123918, 67, 0
58.260914, 64, 78
58.343867, 65, 0
58.540235, 62, 89
58.572790, 64, 0
58.791621, 60, 93
58.812658, 62, 0
59.067810, 64, 83
59.071562, 60, 0
59.312597, 65, 75
59.339859, 64, 0
59.597610, 67, 82
59.621678, 65, 0
59.751671, 67, 0
60.130623, 65, 47
60.321682, 65, 0
60.680922, 64, 81
60.837607, 64, 0
61.228352, 62, 66
61.371782, 62, 0
61.741394, 67, 58
61.761627, 65, 45
61.832692, 65, 0
61.879622, 67, 0
62.338822, 64, 26
62.343747, 65, 25
62.423460, 65, 0
62.425504, 64, 0
62.866636, 60, 24
62.965610, 60, 0
63.389701, 67, 67
64.435653, 65, 75
64.493633, 67, 0
64.692636, 64, 81
64.787684, 65, 0
64.954941, 62, 89
65.011738, 64, 0
65.221774, 60, 98
65.241578, 62, 0
65.496199, 67, 93
65.520590, 60, 0
66.519613, 67, 0
66.524470, 65, 80
66.791633, 64, 89
66.884512, 65, 0
67.060845, 62, 89
67.112405, 64, 0
67.317544, 60, 98
67.338346, 62, 0
67.592579, 64, 89
67.600278, 60, 0
67.843516, 65, 78
67.901479, 64, 0
68.101983, 67, 91
68.156416, 65, 0
68.259407, 67, 0
68.622350, 65, 89
68.794251, 65, 0
69.134379, 64, 97
69.341522, 64, 0
69.677235, 62, 97
69.876297, 62, 0
70.227244, 67, 89
70.401453, 67, 0
70.824674, 60, 115
71.771223, 60, 0
