note, finger
67, 4
65, 2
64, 3
64, 2
62, 1
60, 0
67, 4
65, 3
64, 2
62, 1
60, 2
64, 2
65, 3
67, 4
65, 3
64, 2
62, 1
67, 4
64, 2
65, 2
60, 0
67, 4
65, 3
64, 2
62, 1
59, 0
60, 0
67, 4
65, 2
64, 2
62, 1
60, 0
64, 2
65, 3
67, 4
65, 3
64, 2
62, 1
67, 4
60, 0
67, 4
65, 3
64, 2
62, 1
60, 0
67, 4
65, 3
64, 2
62, 1
60, 0
64, 2
65, 3
67, 4
65, 3
64, 2
62, 1
67, 4
64, 2
65, 2
60, 0
67, 4
65, 3
64, 2
62, 1
60, 0
67, 4
65, 3
64, 2
62, 1
60, 2
64, 2
65, 3
67, 4
65, 3
64, 2
62, 1
67, 4
60, 0
67, 4
65, 3
64, 2
62, 1
60, 0
67, 4
65, 3
64, 2
62, 1
60, 0
64, 2
65, 3
67, 4
65, 3
64, 2
62, 1
67, 4
64, 2
65, 2
60, 0
67, 4
65, 4
65, 3
64, 2
62, 0
60, 0
67, 4
65, 3
64, 2
62, 1
60, 0
64, 2
65, 3
67, 4
65, 3
64, 2
62, 1
67, 4
60, 0
67, 4
65, 3
64, 2
62, 1
67, 3
65, 2
64, 2
62, 1
60, 0
64, 2
65, 3
67, 4
65, 3
64, 2
62, 1
67, 0
65, 0
64, 0
65, 0
60, 0
67, 4
65, 3
64, 2
62, 1
60, 0
67, 4
65, 3
64, 2
62, 1
60, 2
64, 2
65, 3
67, 4
65, 3
64, 2
62, 1
67, 4
60, 0
