time, yaw, pitch, roll, gx, gy, gz, f1, f2, f3, f4, f5, p1, p2, p3, p4, p5
0.007931, 13346, 49412, 29907, 1222, 0, 0, 122, 156, 157, 104, 128, 0, 0, 0, 0, 0
1.506229, 13361, 49395, 29920, 1356, 333, 177, 122, 156, 160, 104, 128, 0, 0, 0, 0, 0
1.506741, 13366, 49384, 29922, 1111, 600, 155, 122, 154, 157, 104, 128, 0, 0, 0, 0, 0
1.507227, 13372, 49370, 29924, 989, 956, 511, 119, 156, 160, 104, 128, 0, 0, 0, 0, 0
1.507708, 13381, 49339, 29918, 722, 1222, 1011, 122, 154, 157, 104, 126, 0, 0, 0, 0, 0
1.508280, 13385, 49320, 29917, 822, 1523, 511, 122, 154, 160, 104, 126, 0, 0, 0, 0, 0
1.508714, 13389, 49299, 29915, 833, 1823, 633, 119, 154, 160, 104, 126, 0, 0, 0, 0, 0
1.509184, 13400, 49246, 29910, 944, 2479, 733, 119, 154, 160, 104, 126, 0, 0, 0, 0, 0
1.510138, 13411, 49182, 29903, 1033, 2912, 978, 119, 154, 160, 104, 126, 0, 0, 0, 0, 0
1.510578, 13423, 49112, 29897, 1178, 3235, 789, 122, 154, 157, 104, 123, 0, 0, 0, 0, 0
1.511017, 13430, 49075, 29894, 1222, 3368, 822, 119, 154, 160, 104, 123, 0, 0, 0, 0, 0
1.511522, 13437, 49037, 29891, 1267, 3479, 855, 119, 154, 157, 104, 123, 0, 0, 0, 0, 0
1.511933, 13451, 48957, 29885, 1434, 3679, 767, 119, 154, 157, 104, 123, 0, 0, 0, 0, 0
1.512370, 13459, 48916, 29883, 1523, 3790, 678, 119, 154, 157, 104, 123, 0, 0, 0, 0, 0
1.512810, 13467, 48874, 29882, 1578, 3902, 555, 119, 154, 157, 102, 119, 0, 0, 0, 0, 0
1.513284, 13475, 48831, 29881, 1656, 3990, 444, 117, 152, 154, 102, 119, 0, 0, 0, 0, 0
1.513727, 13493, 48742, 29883, 1800, 4157, 177, 117, 152, 154, 99, 119, 0, 0, 0, 0, 0
1.514206, 13502, 48696, 29884, 1856, 4235, 88, 117, 152, 154, 102, 119, 0, 0, 0, 0, 0
1.514629, 13511, 48649, 29886, 1900, 4357, 66, 117, 152, 154, 102, 119, 0, 0, 0, 0, 0
1.515050, 13530, 48552, 29891, 1934, 4691, 88, 117, 152, 154, 99, 119, 0, 0, 0, 0, 0
1.515572, 13540, 48502, 29893, 1956, 4724, 66, 117, 152, 154, 102, 119, 0, 0, 0, 0, 0
1.516103, 13550, 48451, 29895, 1923, 4824, 11, 117, 152, 154, 99, 119, 0, 0, 0, 0, 0
1.516575, 13569, 48346, 29896, 1845, 5069, 177, 117, 152, 154, 102, 119, 0, 0, 0, 0, 0
1.517579, 13586, 48238, 29894, 1700, 5280, 366, 117, 152, 154, 99, 119, 0, 0, 0, 0, 0
