note, finger
60, 1
62, 1
64, 2
65, 3
67, 4
65, 3
64, 2
62, 1
60, 0
62, 1
64, 2
65, 3
67, 4
65, 3
64, 2
62, 1
60, 0
62, 1
64, 2
65, 3
67, 4
65, 3
64, 2
62, 1
60, 1
62, 1
64, 2
65, 3
67, 4
65, 3
64, 2
62, 1
60, 0
62, 1
64, 2
65, 3
67, 4
65, 3
64, 2
62, 1
60, 0
62, 1
64, 2
65, 3
67, 4
65, 3
64, 2
62, 1
60, 0
62, 1
64, 2
65, 3
67, 4
64, 2
62, 1
60, 0
62, 1
64, 3
65, 3
67, 3
65, 3
64, 2
62, 1
60, 1
62, 1
64, 3
65, 3
67, 4
65, 3
64, 2
62, 1
60, 1
62, 1
64, 2
65, 3
67, 4
65, 3
64, 2
62, 1
60, 0
62, 1
64, 2
65, 3
67, 4
65, 3
64, 2
62, 1
60, 0
62, 1
64, 2
65, 3
67, 4
65, 3
64, 2
62, 1
60, 0
62, 1
64, 2
65, 3
67, 4
65, 3
64, 2
62, 1
60, 0
62, 1
64, 2
65, 3
67, 4
65, 3
64, 2
62, 1
60, 0
62, 1
64, 2
65, 3
67, 4
65, 3
64, 2
62, 1
60, 0
62, 1
64, 2
65, 3
67, 4
65, 3
64, 2
62, 0
60, 0
62, 1
64, 2
65, 3
67, 3
65, 3
64, 2
62, 1
60, 1
62, 1
64, 2
65, 3
67, 3
65, 3
64, 2
62, 1
60, 1
62, 1
64, 2
65, 3
67, 4
65, 3
64, 2
62, 1
60, 0
62, 1
64, 2
65, 3
67, 4
65, 3
64, 2
62, 1
60, 0
62, 1
64, 2
65, 3
67, 3
65, 3
64, 2
62, 1
60, 0
62, 1
64, 2
65, 3
67, 3
65, 3
64, 2
62, 1
60, 1
62, 1
64, 2
65, 3
67, 4
65, 3
64, 2
62, 1
60, 1
62, 1
64, 2
65, 3
67, 3
65, 3
64, 2
62, 1
60, 1
62, 1
64, 2
65, 3
67, 4
65, 3
64, 2
62, 1
60, 0
