time, yaw, pitch, roll, gx, gy, gz, f1, f2, f3, f4, f5, p1, p2, p3, p4, p5
1.486754, 9885, 48638, 25317, 0, 1511, 5925, 112, 110, 143, 106, 116, 0, 0, 0, 0, 0
1.487208, 9810, 48720, 25185, 0, 1889, 6314, 112, 110, 143, 106, 116, 0, 0, 0, 0, 0
1.487686, 9773, 48758, 25114, 0, 2134, 6959, 112, 110, 143, 106, 119, 0, 0, 0, 0, 0
1.488171, 9737, 48795, 25041, 0, 2301, 7659, 112, 110, 143, 106, 119, 0, 0, 0, 0, 0
1.488655, 9701, 48833, 24964, 0, 2534, 8359, 112, 110, 141, 106, 121, 0, 0, 0, 0, 0
1.489053, 9628, 48904, 24794, 0, 2901, 10105, 112, 110, 141, 106, 123, 0, 0, 0, 0, 0
1.489511, 9592, 48939, 24701, 0, 3101, 10894, 112, 110, 143, 106, 126, 0, 0, 0, 0, 0
1.489967, 9555, 48973, 24603, 0, 3312, 11739, 112, 110, 141, 106, 126, 0, 0, 0, 0, 0
1.490433, 9480, 49043, 24391, 0, 3579, 13206, 112, 110, 141, 106, 131, 0, 0, 0, 0, 0
1.490903, 9440, 49083, 24281, 0, 3524, 13529, 112, 110, 143, 106, 133, 0, 0, 0, 0, 0
1.491358, 9398, 49126, 24167, 0, 3346, 13851, 112, 110, 141, 106, 133, 0, 0, 0, 0, 0
1.492293, 9265, 49283, 23830, 0, 2201, 13796, 112, 110, 141, 106, 135, 0, 0, 0, 0, 0
1.492733, 9220, 49342, 23725, 0, 1867, 13351, 112, 110, 141, 106, 138, 0, 0, 0, 0, 0
1.493159, 9175, 49404, 23624, 0, 1489, 12573, 112, 110, 141, 109, 138, 0, 0, 0, 0, 0
1.493586, 9087, 49528, 23437, 0, 1078, 11883, 109, 107, 138, 104, 140, 0, 0, 0, 0, 0
1.494017, 9045, 49588, 23346, 0, 1022, 12006, 109, 107, 138, 104, 140, 0, 0, 0, 0, 0
1.494441, 9004, 49648, 23255, 0, 889, 12384, 109, 105, 138, 106, 145, 0, 0, 0, 0, 0
1.494880, 8926, 49763, 23068, 0, 1233, 13740, 109, 107, 138, 104, 147, 0, 0, 0, 0, 0
1.495291, 8888, 49818, 22968, 0, 1422, 14974, 109, 105, 138, 104, 152, 0, 0, 0, 0, 0
1.495703, 8849, 49874, 22859, 0, 1689, 16630, 109, 107, 138, 104, 157, 0, 0, 0, 0, 0
1.496138, 8809, 49932, 22743, 0, 1789, 17953, 109, 107, 138, 104, 159, 0, 0, 0, 0, 0
1.496548, 8728, 50046, 22489, 0, 2201, 20777, 109, 107, 138, 104, 164, 0, 0, 0, 0, 0
1.496959, 8687, 50103, 22355, 0, 2312, 21700, 109, 107, 138, 106, 166, 0, 0, 0, 0, 0
1.497370, 8648, 50156, 22215, 0, 2512, 22667, 109, 107, 138, 106, 166, 0, 0, 0, 0, 0
1.497840, 8570, 50260, 21933, 0, 2190, 23367, 109, 107, 138, 106, 169, 0, 0, 0, 0, 0
1.498247, 8533, 50311, 21795, 0, 1945, 23300, 109, 105, 138, 106, 171, 0, 0, 0, 0, 0
1.498760, 8496, 50363, 21660, 0, 1400, 22956, 109, 105, 141, 106, 173, 0, 0, 0, 0, 0
1.499180, 8428, 50461, 21409, 0, 689, 21366, 109, 105, 138, 106, 176, 0, 0, 0, 0, 0
1.499668, 8396, 50507, 21294, 0, 355, 20243, 109, 105, 138, 106, 178, 0, 0, 0, 0, 0
1.500073, 8367, 50551, 21185, 0, 44, 19154, 109, 105, 141, 106, 181, 0, 0, 0, 0, 0
1.500555, 8339, 50592, 21084, 0, 0, 18009, 109, 107, 141, 109, 181, 0, 0, 0, 0, 0
1.500967, 8289, 50668, 20900, 0, 0, 15719, 109, 105, 141, 106, 183, 0, 0, 0, 0, 0
1.501415, 8266, 50701, 20818, 0, 0, 14618, 109, 105, 141, 109, 183, 0, 0, 0, 0, 0
1.501843, 8244, 50734, 20740, 0, 0, 13573, 109, 105, 141, 109, 185, 0, 0, 0, 0, 0
1.502268, 8204, 50792, 20604, 0, 0, 11261, 109, 105, 141, 106, 183, 0, 0, 0, 0, 0
