time, note, velocity
2.855043, 60, 83
3.431577, 62, 87
3.487723, 60, 0
3.984549, 64, 97
4.019632, 62, 0
4.564523, 65, 97
4.610637, 64, 0
5.170535, 67, 89
5.241608, 65, 0
5.713629, 65, 85
5.742498, 67, 0
6.288943, 64, 91
6.355530, 65, 0
6.866498, 62, 87
6.921667, 64, 0
7.431939, 60, 93
7.482466, 62, 0
8.033027, 62, 87
8.116375, 60, 0
8.584427, 64, 98
8.633580, 62, 0
9.146600, 65, 85
9.213465, 64, 0
9.721554, 67, 91
9.786460, 65, 0
10.292960, 65, 87
10.340296, 67, 0
10.846534, 64, 91
10.909608, 65, 0
11.408364, 62, 79
11.486377, 64, 0
11.993245, 60, 86
12.047322, 62, 0
12.525393, 62, 86
12.591296, 60, 0
13.060938, 64, 86
13.106235, 62, 0
13.604278, 65, 87
13.665236, 64, 0
14.170711, 67, 98
14.230213, 65, 0
14.727891, 65, 85
14.786320, 67, 0
15.264301, 64, 93
15.358254, 65, 0
15.832213, 62, 91
15.874384, 64, 0
16.403582, 60, 89
16.454279, 62, 0
16.963208, 62, 89
17.061355, 60, 0
17.537245, 64, 95
17.592159, 62, 0
18.097461, 65, 87
18.162163, 64, 0
18.679204, 67, 98
18.719200, 65, 0
19.209324, 65, 89
19.261072, 67, 0
19.750383, 64, 83
19.826022, 65, 0
20.256424, 62, 86
20.313088, 64, 0
20.816089, 60, 87
20.868210, 62, 0
21.387522, 62, 89
21.603921, 60, 0
21.887092, 64, 97
21.931064, 62, 0
22.416004, 65, 89
22.472882, 64, 0
23.030720, 67, 93
23.090246, 65, 0
23.623102, 65, 91
23.684061, 67, 0
24.176823, 64, 86
24.244925, 65, 0
24.760464, 62, 83
24.813860, 64, 0
25.373956, 60, 93
25.422973, 62, 0
26.093347, 62, 86
26.189947, 60, 0
26.802776, 64, 97
26.857791, 62, 0
27.538947, 65, 85
27.598899, 64, 0
28.261866, 67, 93
28.330864, 65, 0
28.982762, 65, 87
29.348754, 67, 0
29.714862, 64, 91
29.779879, 65, 0
30.464892, 62, 97
30.508682, 64, 0
31.231606, 60, 89
31.274763, 62, 0
31.986656, 62, 91
32.055732, 60, 0
32.738728, 64, 95
32.780616, 62, 0
33.513628, 65, 95
33.584621, 64, 0
34.240072, 67, 95
34.309313, 65, 0
34.961120, 65, 91
35.015527, 67, 0
35.717946, 64, 86
35.805500, 65, 0
36.484900, 62, 84
36.543678, 64, 0
37.276914, 60, 97
37.308869, 62, 0
38.053042, 62, 89
38.117495, 60, 0
38.847363, 64, 91
38.895390, 62, 0
39.625425, 65, 74
39.680372, 64, 0
40.390331, 67, 93
40.455491, 65, 0
41.155324, 65, 89
41.200227, 67, 0
41.911396, 64, 83
41.987447, 65, 0
42.681325, 62, 87
42.742350, 64, 0
43.482320, 60, 95
43.525367, 62, 0
45.131379, 60, 0
