time, note, velocity
3.324285, 60, 58
3.719020, 64, 70
3.773916, 60, 0
4.114095, 62, 83
4.163927, 64, 0
4.499793, 65, 89
4.530760, 62, 0
4.903361, 64, 95
4.956646, 65, 0
5.294429, 67, 97
5.315612, 64, 0
5.678783, 65, 85
5.696790, 67, 0
6.077196, 64, 97
6.142902, 65, 0
6.485684, 62, 95
6.512713, 64, 0
6.882032, 65, 95
6.906778, 62, 0
7.257652, 64, 91
7.314519, 65, 0
7.661800, 67, 93
7.672673, 64, 0
8.063359, 65, 95
8.104636, 67, 0
8.438248, 62, 89
8.475760, 65, 0
8.816994, 64, 100
8.863633, 62, 0
9.210809, 60, 95
9.237577, 64, 0
9.600179, 62, 91
9.661684, 60, 0
9.977703, 64, 93
10.026680, 62, 0
10.343483, 65, 85
10.382707, 64, 0
10.716578, 64, 95
10.760668, 65, 0
11.111709, 67, 95
11.139558, 64, 0
11.488987, 65, 87
11.535724, 67, 0
11.859631, 62, 89
11.891637, 65, 0
12.231109, 64, 91
12.271589, 62, 0
12.599248, 60, 95
12.639611, 64, 0
13.446705, 62, 97
13.499411, 60, 0
14.270486, 64, 91
14.306552, 62, 0
14.649585, 65, 75
14.698386, 64, 0
15.041557, 67, 85
15.106497, 65, 0
15.841762, 65, 87
15.875466, 67, 0
16.228593, 64, 95
16.290669, 65, 0
16.605330, 62, 91
16.674315, 64, 0
16.999140, 64, 89
17.045378, 62, 0
17.360287, 65, 87
17.411275, 64, 0
18.231249, 64, 87
18.301390, 65, 0
19.050318, 62, 98
19.090547, 64, 0
19.889354, 64, 105
19.931708, 62, 0
20.748655, 65, 91
20.818531, 64, 0
21.118199, 67, 83
21.150634, 65, 0
21.504483, 65, 91
21.544028, 67, 0
22.317227, 64, 93
22.402199, 65, 0
22.719397, 62, 86
22.778166, 64, 0
23.110468, 60, 89
23.164252, 62, 0
23.503153, 62, 87
23.567215, 60, 0
23.881328, 64, 98
23.922307, 62, 0
25.109853, 65, 89
25.342299, 64, 0
25.497240, 67, 93
25.539133, 65, 0
26.712154, 65, 85
26.775033, 67, 0
27.109968, 64, 95
27.173064, 65, 0
27.929931, 62, 87
27.979143, 64, 0
28.807960, 65, 85
28.847935, 62, 0
29.180825, 64, 87
29.219802, 65, 0
29.577983, 62, 83
29.619986, 64, 0
29.966966, 64, 78
30.015970, 62, 0
30.385041, 60, 76
30.418873, 64, 0
30.806866, 62, 83
30.862880, 60, 0
31.186313, 60, 91
31.222928, 62, 0
31.587978, 64, 83
31.632770, 60, 0
31.952931, 60, 95
31.981920, 64, 0
32.335530, 65, 89
32.368814, 60, 0
32.713033, 60, 87
32.767819, 65, 0
33.114166, 67, 89
33.161781, 60, 0
33.476922, 60, 98
33.514760, 67, 0
33.901982, 65, 97
33.965798, 60, 0
34.275057, 60, 98
34.318711, 65, 0
34.667831, 64, 91
34.736764, 60, 0
35.041554, 60, 98
