time, yaw, pitch, roll, gx, gy, gz, f1, f2, f3, f4, f5, p1, p2, p3, p4, p5
1.498020, 12174, 46446, 31338, 2067, 1800, 0, 99, 100, 168, 104, 224, 0, 0, 0, 0, 0
1.498493, 12185, 46423, 31349, 1923, 2001, 0, 96, 100, 168, 104, 224, 0, 0, 0, 0, 0
1.498913, 12195, 46401, 31360, 1800, 2089, 0, 99, 100, 168, 104, 221, 0, 0, 0, 0, 0
1.499347, 12213, 46355, 31379, 1278, 2156, 0, 96, 100, 168, 104, 219, 0, 0, 0, 0, 0
1.499822, 12220, 46334, 31384, 978, 2123, 0, 96, 100, 168, 104, 214, 0, 0, 0, 0, 0
1.500242, 12227, 46312, 31389, 822, 2312, 0, 96, 100, 168, 104, 212, 0, 0, 0, 0, 0
1.500714, 12232, 46291, 31389, 311, 1989, 0, 99, 100, 168, 104, 209, 0, 0, 0, 0, 0
1.501126, 12235, 46264, 31378, 0, 1545, 689, 99, 100, 168, 104, 204, 0, 0, 0, 0, 0
1.501646, 12235, 46254, 31368, 0, 1378, 1022, 96, 100, 168, 104, 202, 0, 0, 0, 0, 0
1.502031, 12233, 46246, 31356, 0, 1233, 1322, 99, 98, 168, 104, 200, 0, 0, 0, 0, 0
1.502459, 12227, 46236, 31325, 0, 978, 1734, 99, 100, 168, 102, 197, 0, 0, 0, 0, 0
1.502889, 12223, 46233, 31307, 0, 855, 2034, 99, 100, 168, 102, 193, 0, 0, 0, 0, 0
1.503318, 12219, 46232, 31287, 0, 755, 2556, 99, 100, 168, 102, 190, 0, 0, 0, 0, 0
1.504675, 12204, 46239, 31209, 0, 55, 2534, 94, 98, 165, 99, 188, 0, 0, 0, 0, 0
1.505111, 12201, 46244, 31193, 0, 0, 2412, 94, 98, 165, 99, 185, 0, 0, 0, 0, 0
1.505593, 12194, 46259, 31163, 0, 0, 2112, 96, 98, 165, 99, 181, 0, 0, 0, 0, 0
1.506011, 12191, 46269, 31150, 0, 0, 1878, 96, 98, 165, 99, 176, 0, 0, 0, 0, 0
1.506494, 12187, 46280, 31140, 0, 0, 1634, 94, 98, 165, 99, 176, 0, 0, 0, 0, 0
1.506912, 12178, 46307, 31121, 0, 0, 1300, 94, 98, 165, 99, 171, 0, 0, 0, 0, 0
1.507409, 12174, 46321, 31113, 0, 0, 1256, 94, 98, 165, 97, 171, 0, 0, 0, 0, 0
1.507811, 12169, 46336, 31105, 0, 0, 1300, 94, 95, 165, 97, 169, 0, 0, 0, 0, 0
1.508223, 12162, 46365, 31088, 0, 0, 1534, 96, 98, 165, 97, 169, 0, 0, 0, 0, 0
1.508656, 12158, 46379, 31079, 0, 0, 1767, 96, 98, 165, 97, 166, 0, 0, 0, 0, 0
1.509068, 12156, 46391, 31068, 0, 0, 2178, 96, 98, 165, 97, 164, 0, 0, 0, 0, 0
1.509547, 12155, 46403, 31056, 0, 0, 2501, 94, 95, 165, 99, 162, 0, 0, 0, 0, 0
1.510502, 12154, 46432, 31016, 0, 0, 2834, 96, 95, 165, 97, 159, 0, 0, 0, 0, 0
1.511387, 12160, 46441, 30978, 277, 0, 2545, 96, 98, 165, 97, 159, 0, 0, 0, 0, 0
1.511803, 12164, 46439, 30968, 433, 0, 2479, 96, 95, 165, 97, 159, 0, 0, 0, 0, 0
1.512291, 12169, 46434, 30958, 622, 211, 2401, 96, 98, 165, 97, 159, 0, 0, 0, 0, 0
1.512768, 12183, 46415, 30943, 978, 700, 2123, 96, 98, 165, 97, 159, 0, 0, 0, 0, 0
1.513199, 12191, 46402, 30937, 1145, 922, 1912, 96, 95, 165, 97, 157, 0, 0, 0, 0, 0
1.513671, 12200, 46386, 30933, 1256, 1089, 1645, 96, 98, 165, 97, 157, 0, 0, 0, 0, 0
1.514077, 12209, 46369, 30930, 1345, 1211, 1345, 96, 98, 165, 97, 157, 0, 0, 0, 0, 0
1.514506, 12227, 46331, 30929, 1378, 1456, 789, 96, 98, 165, 97, 157, 0, 0, 0, 0, 0
1.514939, 12237, 46311, 30930, 1311, 1623, 689, 94, 98, 165, 97, 157, 0, 0, 0, 0, 0
1.515368, 12246, 46290, 30931, 1178, 1789, 733, 96, 98, 165, 97, 157, 0, 0, 0, 0, 0
1.515884, 12265, 46244, 30928, 944, 2123, 1311, 96, 98, 165, 97, 157, 0, 0, 0, 0, 0
1.516403, 12274, 46220, 30922, 811, 2256, 1734, 96, 95, 165, 97, 154, 0, 0, 0, 0, 0
1.516802, 12283, 46195, 30914, 700, 2323, 2178, 96, 98, 165, 97, 157, 0, 0, 0, 0, 0
1.517266, 12300, 46147, 30889, 489, 2312, 2890, 96, 98, 162, 97, 154, 0, 0, 0, 0, 0
1.517776, 12308, 46124, 30874, 377, 2234, 3034, 96, 98, 165, 97, 154, 0, 0, 0, 0, 0
1.518211, 12314, 46103, 30858, 244, 2123, 3068, 94, 95, 165, 97, 154, 0, 0, 0, 0, 0
1.518625, 12320, 46083, 30840, 166, 2012, 3034, 96, 98, 165, 97, 154, 0, 0, 0, 0, 0
1.519569, 12335, 46028, 30793, 177, 1667, 2423, 94, 98, 165, 97, 152, 0, 0, 0, 0, 0
1.519984, 12340, 46013, 30781, 277, 1534, 2145, 94, 95, 165, 97, 152, 0, 0, 0, 0, 0
1.520933, 12357, 45970, 30760, 667, 1167, 1500, 94, 98, 165, 97, 152, 0, 0, 0, 0, 0
1.521356, 12364, 45957, 30757, 800, 1089, 1434, 94, 98, 165, 97, 150, 0, 0, 0, 0, 0
1.521780, 12380, 45933, 30755, 989, 1022, 1578, 96, 98, 165, 97, 150, 0, 0, 0, 0, 0
1.522215, 12389, 45921, 30754, 1022, 967, 1867, 94, 95, 165, 97, 150, 0, 0, 0, 0, 0
1.522626, 12398, 45909, 30753, 1033, 956, 2101, 94, 95, 165, 97, 150, 0, 0, 0, 0, 0
1.523087, 12418, 45888, 30746, 1022, 822, 2834, 96, 95, 165, 97, 150, 0, 0, 0, 0, 0
1.523660, 12429, 45877, 30741, 1100, 755, 3068, 94, 98, 165, 97, 150, 0, 0, 0, 0, 0
1.524165, 12440, 45868, 30735, 1145, 622, 3468, 96, 98, 165, 97, 150, 0, 0, 0, 0, 0
1.524522, 12450, 45859, 30727, 1111, 489, 3857, 94, 98, 165, 97, 150, 0, 0, 0, 0, 0
1.525046, 12469, 45848, 30704, 933, 188, 4146, 94, 98, 165, 97, 150, 0, 0, 0, 0, 0
1.525471, 12477, 45843, 30690, 755, 100, 4357, 96, 98, 165, 97, 150, 0, 0, 0, 0, 0
1.525886, 12483, 45841, 30672, 478, 0, 4569, 94, 98, 165, 97, 150, 0, 0, 0, 0, 0
1.526296, 12491, 45839, 30628, 0, 0, 5002, 96, 98, 165, 97, 150, 0, 0, 0, 0, 0
1.526725, 12494, 45840, 30601, 0, 0, 5358, 96, 95, 165, 97, 147, 0, 0, 0, 0, 0
1.527156, 12495, 45842, 30571, 0, 0, 5625, 96, 98, 162, 97, 147, 0, 0, 0, 0, 0
1.527617, 12499, 45844, 30503, 0, 0, 6636, 96, 98, 165, 97, 147, 0, 0, 0, 0, 0
1.528147, 12501, 45843, 30465, 0, 77, 7025, 96, 98, 162, 97, 147, 0, 0, 0, 0, 0
1.528536, 12504, 45840, 30425, 0, 244, 7359, 96, 95, 165, 97, 147, 0, 0, 0, 0, 0
1.528983, 12506, 45836, 30381, 0, 389, 7670, 94, 98, 165, 97, 150, 0, 0, 0, 0, 0
1.529416, 12511, 45821, 30291, 0, 944, 7537, 96, 98, 165, 97, 147, 0, 0, 0, 0, 0
1.529844, 12512, 45810, 30245, 0, 1211, 7515, 96, 98, 165, 97, 147, 0, 0, 0, 0, 0
1.530271, 12513, 45799, 30195, 0, 1378, 7670, 96, 98, 165, 97, 150, 0, 0, 0, 0, 0
1.530740, 12504, 45788, 30075, 0, 1178, 8760, 96, 98, 165, 97, 150, 0, 0, 0, 0, 0
1.531166, 12495, 45784, 30008, 0, 1345, 8648, 94, 95, 162, 97, 147, 0, 0, 0, 0, 0
1.533528, 12484, 45776, 29936, 0, 1812, 8526, 96, 95, 165, 99, 150, 0, 0, 0, 0, 0
1.534016, 12449, 45761, 29765, 0, 2245, 9593, 96, 98, 165, 99, 147, 0, 0, 0, 0, 0
1.534520, 12426, 45757, 29666, 0, 2290, 10338, 96, 95, 165, 99, 147, 0, 0, 0, 0, 0
1.534986, 12399, 45756, 29558, 0, 2345, 11094, 96, 98, 165, 97, 147, 0, 0, 0, 0, 0
1.535441, 12368, 45759, 29442, 0, 2290, 11739, 96, 98, 165, 99, 150, 0, 0, 0, 0, 0
1.535966, 12295, 45780, 29183, 0, 2078, 13440, 96, 98, 165, 97, 147, 0, 0, 0, 0, 0
1.536346, 12255, 45796, 29041, 0, 1956, 14385, 96, 98, 165, 97, 147, 0, 0, 0, 0, 0
1.536816, 12212, 45816, 28892, 0, 1889, 15141, 96, 95, 165, 99, 150, 0, 0, 0, 0, 0
1.537288, 12118, 45874, 28580, 0, 1445, 16052, 96, 95, 165, 99, 147, 0, 0, 0, 0, 0
1.537802, 12068, 45907, 28420, 0, 1478, 16175, 96, 98, 165, 99, 147, 0, 0, 0, 0, 0
1.538322, 12017, 45943, 28259, 0, 1467, 16252, 96, 95, 165, 99, 147, 0, 0, 0, 0, 0
1.538733, 11913, 46020, 27936, 0, 1556, 16186, 96, 95, 165, 99, 147, 0, 0, 0, 0, 0
1.539166, 11860, 46060, 27774, 0, 1756, 16163, 96, 95, 165, 99, 147, 0, 0, 0, 0, 0
1.539652, 11807, 46098, 27612, 0, 2112, 16130, 96, 95, 165, 99, 147, 0, 0, 0, 0, 0
1.540584, 11649, 46195, 27118, 0, 3746, 16664, 96, 95, 165, 99, 147, 0, 0, 0, 0, 0
1.541008, 11596, 46223, 26945, 0, 4257, 17320, 96, 95, 165, 99, 147, 0, 0, 0, 0, 0
1.541936, 11543, 46249, 26766, 0, 4746, 18087, 96, 95, 165, 99, 147, 0, 0, 0, 0, 0
1.542390, 11433, 46300, 26387, 0, 5614, 20166, 96, 98, 165, 99, 147, 0, 0, 0, 0, 0
1.542821, 11376, 46328, 26185, 0, 5880, 21388, 96, 95, 165, 99, 147, 0, 0, 0, 0, 0
1.543251, 11317, 46357, 25975, 0, 6147, 22444, 96, 95, 165, 99, 147, 0, 0, 0, 0, 0
1.543681, 11256, 46391, 25758, 0, 6314, 23378, 96, 95, 165, 99, 147, 0, 0, 0, 0, 0
1.544115, 11130, 46469, 25313, 0, 6314, 24312, 96, 95, 165, 99, 147, 0, 0, 0, 0, 0
1.544615, 11065, 46513, 25093, 0, 6247, 24123, 96, 95, 165, 99, 147, 0, 0, 0, 0, 0
1.545051, 11002, 46559, 24877, 0, 6125, 23601, 96, 95, 165, 99, 147, 0, 0, 0, 0, 0
1.545548, 10875, 46659, 24473, 0, 5525, 20944, 96, 95, 165, 99, 147, 0, 0, 0, 0, 0
1.545949, 10815, 46712, 24290, 0, 5236, 19421, 96, 95, 165, 99, 147, 0, 0, 0, 0, 0
1.546380, 10756, 46766, 24123, 0, 4724, 17220, 96, 95, 165, 99, 147, 0, 0, 0, 0, 0
1.546842, 10646, 46876, 23840, 0, 3746, 13062, 96, 95, 165, 99, 147, 0, 0, 0, 0, 0
1.547328, 10596, 46931, 23721, 0, 3190, 11606, 96, 95, 165, 99, 145, 0, 0, 0, 0, 0
1.548221, 10501, 47049, 23521, 0, 2078, 9260, 96, 95, 170, 99, 147, 0, 0, 0, 0, 0
1.548680, 10412, 47172, 23353, 0, 1456, 7815, 96, 95, 170, 99, 147, 0, 0, 0, 0, 0
1.549113, 10367, 47238, 23277, 0, 911, 8159, 96, 95, 173, 102, 147, 0, 0, 0, 0, 0
1.549553, 10324, 47300, 23203, 0, 1211, 7281, 96, 95, 173, 99, 145, 0, 0, 0, 0, 0
1.549989, 10237, 47427, 23053, 0, 1334, 7848, 96, 95, 176, 99, 145, 0, 0, 0, 0, 0
1.550422, 10192, 47492, 22977, 0, 1456, 8048, 96, 95, 173, 99, 147, 0, 0, 0, 0, 0
1.550859, 10148, 47553, 22899, 0, 1789, 8126, 96, 95, 176, 99, 145, 0, 0, 0, 0, 0
1.551411, 10061, 47672, 22744, 0, 2423, 7648, 96, 95, 176, 99, 145, 0, 0, 0, 0, 0
1.552376, 9977, 47778, 22594, 0, 3034, 6847, 96, 95, 176, 99, 145, 0, 0, 0, 0, 0
1.552810, 9937, 47826, 22523, 0, 3290, 6114, 96, 95, 176, 102, 145, 0, 0, 0, 0, 0
1.553249, 9863, 47912, 22396, 0, 3524, 4457, 96, 95, 179, 99, 145, 0, 0, 0, 0, 0
1.553685, 9828, 47950, 22342, 0, 3624, 3490, 96, 95, 179, 99, 145, 0, 0, 0, 0, 0
