note, finger
60, 0
62, 1
65, 3
64, 2
62, 1
60, 2
64, 2
62, 1
64, 2
65, 3
67, 4
62, 1
64, 1
65, 3
64, 2
62, 1
64, 2
60, 1
62, 1
65, 3
64, 2
62, 1
60, 0
67, 3
65, 4
65, 3
64, 2
62, 1
65, 3
64, 2
60, 1
62, 1
65, 3
64, 2
67, 4
65, 3
64, 2
62, 1
65, 3
64, 2
60, 0
62, 1
64, 2
65, 3
64, 2
62, 1
67, 4
64, 2
60, 0
62, 1
65, 3
64, 2
67, 4
62, 1
65, 3
64, 2
60, 0
62, 1
65, 3
64, 2
67, 4
62, 1
67, 4
64, 2
65, 3
62, 1
64, 2
60, 0
62, 1
65, 3
64, 2
67, 4
65, 3
62, 1
64, 2
60, 0
62, 1
65, 3
64, 2
67, 2
65, 4
64, 2
65, 3
62, 1
60, 1
62, 1
65, 3
64, 2
67, 4
65, 3
62, 1
64, 2
60, 1
62, 1
64, 2
65, 3
67, 4
60, 0
65, 3
64, 2
62, 1
60, 0
62, 1
64, 2
65, 3
67, 4
62, 1
65, 3
64, 2
60, 0
62, 1
64, 2
65, 3
64, 2
62, 1
67, 3
65, 3
64, 2
62, 1
64, 2
60, 0
67, 0
62, 1
65, 3
64, 2
60, 1
62, 1
67, 4
64, 2
65, 3
62, 1
60, 0
67, 4
62, 1
65, 3
64, 2
62, 1
65, 3
64, 2
60, 0
