time, note, velocity
2.965166, 62, 70
3.708074, 62, 0
3.842831, 62, 81
4.670110, 62, 0
4.792072, 62, 98
5.602009, 62, 0
5.701668, 62, 87
6.585204, 62, 0
6.656141, 62, 79
7.541102, 62, 0
7.633227, 62, 59
8.413071, 62, 0
8.505433, 62, 57
9.316846, 62, 0
9.410099, 62, 66
10.270131, 62, 0
10.390063, 62, 75
11.244922, 62, 0
11.321426, 62, 84
12.202782, 62, 0
12.338118, 62, 95
13.069790, 62, 0
13.252886, 62, 110
14.072886, 62, 0
14.295844, 62, 83
16.876673, 62, 0
17.608735, 62, 105
18.343646, 62, 0
18.513009, 62, 89
19.165497, 62, 0
19.373693, 62, 98
20.095532, 62, 0
20.284661, 62, 100
20.993530, 62, 0
21.207903, 62, 68
21.968566, 62, 0
22.170801, 62, 60
22.863603, 62, 0
23.098615, 62, 42
23.761547, 62, 0
24.045878, 62, 38
24.671530, 62, 0
24.962410, 62, 53
25.623362, 62, 0
25.865188, 62, 97
26.517426, 62, 0
26.755471, 62, 112
27.411271, 62, 0
27.669715, 62, 115
28.343331, 62, 0
28.661309, 62, 76
29.283280, 62, 0
29.613312, 62, 55
30.251396, 62, 0
30.541994, 62, 44
31.204335, 62, 0
31.508141, 62, 35
32.130145, 62, 0
32.487197, 62, 49
33.083532, 62, 0
33.409144, 62, 93
34.026140, 62, 0
34.328374, 62, 115
35.002257, 62, 0
35.297602, 62, 121
35.956027, 62, 0
36.279562, 62, 123
36.976991, 62, 0
37.261195, 62, 69
37.988025, 62, 0
38.256018, 62, 56
38.963872, 62, 0
39.243970, 62, 46
39.937099, 62, 0
40.212481, 62, 38
40.899997, 62, 0
41.188722, 62, 45
41.913751, 62, 0
42.170649, 62, 70
42.817940, 62, 0
43.071962, 62, 93
43.790957, 62, 0
44.011776, 62, 108
44.753631, 62, 0
44.992888, 62, 110
45.719794, 62, 0
45.951710, 62, 112
46.700804, 62, 0
46.937752, 62, 91
47.727528, 62, 0
47.961825, 62, 70
48.666661, 62, 0
48.891753, 62, 60
49.695839, 62, 0
49.925735, 62, 38
50.604911, 62, 0
50.913585, 62, 40
51.581740, 62, 0
51.901130, 62, 40
52.578367, 62, 0
52.918799, 62, 44
53.544461, 62, 0
53.820511, 62, 58
54.457637, 62, 0
54.731697, 62, 64
55.355662, 62, 0
55.702769, 62, 73
56.311324, 62, 0
56.620336, 62, 76
57.237448, 62, 0
57.535681, 62, 63
58.138223, 62, 0
58.413364, 62, 50
58.997301, 62, 0
59.293272, 62, 64
59.938261, 62, 0
60.194041, 62, 75
60.892253, 62, 0
61.126355, 62, 81
61.872277, 62, 0
62.068441, 62, 91
62.736241, 62, 0
62.969499, 62, 87
63.710172, 62, 0
63.899548, 62, 83
64.656184, 62, 0
64.857655, 62, 91
65.570058, 62, 0
65.832249, 62, 105
66.541142, 62, 0
66.763933, 62, 105
67.505020, 62, 0
67.740164, 62, 110
68.488969, 62, 0
68.701073, 62, 108
69.459974, 62, 0
69.661671, 62, 105
70.367976, 62, 0
70.607005, 62, 89
71.354891, 62, 0
71.624261, 62, 73
72.322780, 62, 0
72.606558, 62, 78
73.429671, 62, 0
73.641419, 62, 84
74.355777, 62, 0
74.599798, 62, 91
75.305710, 62, 0
75.542771, 62, 97
76.308911, 62, 0
76.542727, 62, 97
77.306640, 62, 0
77.542821, 62, 97
78.311673, 62, 0
78.544320, 62, 105
79.315496, 62, 0
79.553698, 62, 97
80.313542, 62, 0
80.553607, 62, 103
81.279506, 62, 0
81.532518, 62, 108
82.272913, 62, 0
82.490613, 62, 108
83.262518, 62, 0
83.521661, 62, 105
84.262673, 62, 0
84.515843, 62, 112
85.220565, 62, 0
