time, note, velocity
12.612983, 64, 89
13.452904, 64, 0
13.609888, 64, 79
14.397954, 64, 0
14.539101, 64, 86
15.327850, 64, 0
15.395883, 64, 47
16.135743, 64, 0
16.259946, 64, 95
17.053737, 64, 0
17.122377, 64, 84
17.939677, 64, 0
18.010215, 64, 87
18.828545, 64, 0
18.945893, 64, 59
19.684764, 64, 0
19.824024, 64, 89
20.618917, 64, 0
20.723107, 64, 75
21.544701, 64, 0
21.640584, 64, 64
22.424576, 64, 0
22.542660, 64, 47
23.322562, 64, 0
23.435540, 64, 63
24.184646, 64, 0
24.318655, 64, 84
25.106481, 64, 0
25.237612, 64, 95
26.041520, 64, 0
26.155107, 64, 100
26.958416, 64, 0
27.117729, 64, 115
27.875463, 64, 0
28.049617, 64, 76
28.757616, 64, 0
28.938873, 64, 73
29.732317, 64, 0
29.941346, 64, 78
30.636364, 64, 0
30.845665, 64, 86
31.580330, 64, 0
31.777413, 64, 95
32.550195, 64, 0
32.707402, 64, 93
33.523385, 64, 0
33.675261, 64, 100
34.474240, 64, 0
34.643243, 64, 105
35.440228, 64, 0
35.632221, 64, 110
36.348192, 64, 0
36.586209, 64, 125
37.303146, 64, 0
37.562160, 64, 126
37.587257, 65, 64
37.639150, 65, 0
38.288071, 64, 0
38.563462, 64, 126
39.335306, 64, 0
39.554091, 64, 87
40.361968, 64, 0
40.559035, 64, 55
40.576980, 62, 49
40.677857, 62, 0
41.355076, 64, 0
41.538680, 64, 75
42.245990, 64, 0
42.460786, 64, 66
43.240935, 64, 0
43.423074, 64, 70
44.087870, 64, 0
44.247021, 64, 70
44.893894, 64, 0
45.181978, 64, 70
45.930875, 64, 0
46.154109, 64, 68
46.744924, 64, 0
47.086190, 64, 53
47.705808, 64, 0
48.006972, 64, 53
48.718799, 64, 0
48.996074, 64, 48
49.622827, 64, 0
49.905812, 64, 48
50.576898, 64, 0
50.759585, 64, 60
51.390588, 64, 0
51.686802, 64, 69
52.506559, 64, 0
52.684572, 64, 95
53.425523, 64, 0
53.617946, 64, 110
54.437703, 64, 0
54.617049, 64, 112
55.346560, 64, 0
55.557881, 64, 110
56.317516, 64, 0
56.508419, 64, 103
57.278512, 64, 0
57.490467, 64, 81
58.245399, 64, 0
58.429466, 64, 86
59.143449, 64, 0
59.380725, 64, 79
60.087333, 64, 0
60.331222, 64, 75
61.004272, 64, 0
61.294612, 64, 81
61.924224, 64, 0
62.220674, 64, 78
62.849354, 64, 0
63.155741, 64, 91
63.902197, 64, 0
64.131139, 64, 84
64.872163, 64, 0
65.069312, 64, 79
65.790508, 64, 0
66.014194, 64, 86
66.719049, 64, 0
66.952165, 64, 91
67.745212, 64, 0
67.950808, 64, 91
68.738046, 64, 0
68.939952, 64, 87
69.688111, 64, 0
69.911077, 64, 87
70.639068, 64, 0
70.902433, 64, 68
70.929035, 62, 34
71.014301, 62, 0
71.662965, 64, 0
71.899338, 64, 89
72.749916, 64, 0
72.972074, 64, 87
73.712752, 64, 0
73.959009, 64, 98
74.751967, 64, 0
74.955498, 64, 98
75.751913, 64, 0
75.920946, 64, 108
76.752886, 64, 0
76.881912, 64, 95
77.641875, 64, 0
77.803907, 64, 95
78.623551, 64, 0
78.754877, 64, 97
79.589689, 64, 0
79.738120, 64, 115
80.542912, 64, 0
80.711603, 64, 112
81.485591, 64, 0
81.646591, 64, 118
82.426672, 64, 0
82.595593, 64, 115
83.411634, 64, 0
83.570638, 64, 121
84.333503, 64, 0
84.512577, 64, 120
85.343603, 64, 0
85.520852, 64, 120
86.203587, 64, 0
86.406778, 64, 120
87.130612, 64, 0
87.327947, 64, 89
88.133530, 64, 0
88.298472, 64, 83
89.052402, 64, 0
89.235856, 64, 70
89.948629, 64, 0
90.140665, 64, 73
90.945504, 64, 0
91.060136, 64, 60
91.735451, 64, 0
91.897581, 64, 86
92.675341, 64, 0
92.831343, 64, 86
93.545305, 64, 0
93.712497, 64, 100
94.430395, 64, 0
94.576398, 64, 100
95.303286, 64, 0
95.448230, 64, 103
96.189085, 64, 0
96.319517, 64, 100
97.035037, 64, 0
97.181767, 64, 118
97.909152, 64, 0
98.051046, 64, 121
98.758918, 64, 0
98.910970, 64, 124
99.628856, 64, 0
99.764104, 64, 121
100.477053, 64, 0
100.629040, 64, 76
101.254960, 64, 0
101.445221, 64, 60
102.020793, 64, 0
102.229959, 64, 69
102.759841, 64, 0
102.992858, 64, 84
103.447900, 64, 0
103.625544, 64, 84
104.025999, 64, 0
104.179713, 64, 97
104.534199, 64, 0
104.647610, 64, 87
104.987777, 64, 0
105.088335, 64, 81
105.393805, 64, 0
105.486316, 64, 87
105.771814, 64, 0
105.853010, 64, 91
106.124975, 64, 0
106.206130, 64, 95
106.493806, 64, 0
106.570031, 64, 93
106.846834, 64, 0
106.927253, 64, 76
107.230953, 64, 0
107.372852, 64, 37
107.674853, 64, 0
108.117530, 64, 31
108.455902, 64, 0
109.009803, 64, 32
109.357810, 64, 0
109.909841, 64, 25
110.231769, 64, 0
110.771706, 64, 24
111.119614, 64, 0
111.670748, 64, 24
111.971612, 64, 0
112.535578, 64, 21
112.823740, 64, 0
113.382744, 64, 21
113.672635, 64, 0
114.202917, 64, 27
114.515519, 64, 0
115.033683, 64, 34
115.394717, 64, 0
115.915629, 64, 53
116.278561, 64, 0
116.790743, 64, 56
117.203298, 64, 0
117.650299, 64, 62
118.090413, 64, 0
118.528428, 64, 64
118.981270, 64, 0
119.446360, 64, 66
119.911449, 64, 0
120.316043, 64, 50
120.756391, 64, 0
121.189974, 64, 69
121.695397, 64, 0
122.154811, 64, 57
122.649308, 64, 0
123.135872, 64, 72
123.695365, 64, 0
124.215437, 64, 72
124.902357, 64, 0
125.616140, 64, 47
126.234145, 64, 0
126.702130, 64, 24
127.235251, 64, 0
127.662083, 64, 32
128.160064, 64, 0
128.566721, 64, 28
129.022095, 64, 0
129.447153, 64, 38
129.904147, 64, 0
130.315239, 64, 32
130.763904, 64, 0
