previous_finger, present_finger, note_increment
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 1
2, 2, -1
2, 2, 0
2, 2, 0
2, 2, -1
2, 2, 1
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, -1
2, 2, 1
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
2, 2, 0
