time, yaw, pitch, roll, gx, gy, gz, f1, f2, f3, f4, f5, p1, p2, p3, p4, p5
0.020468, 57356, 56828, 31680, 0, 2323, 0, 102, 100, 119, 92, 116, 0, 0, 0, 0, 0
0.020932, 57347, 56805, 31680, 0, 2345, 0, 102, 100, 119, 92, 116, 0, 0, 0, 0, 0
0.024209, 57339, 56782, 31680, 0, 2345, 0, 102, 100, 119, 92, 116, 0, 0, 0, 0, 0
0.031351, 57322, 56736, 31680, 0, 2345, 0, 102, 102, 119, 92, 116, 0, 0, 0, 0, 0
0.038214, 57314, 56713, 31679, 0, 2345, 0, 104, 102, 119, 89, 116, 0, 0, 0, 0, 0
0.043041, 57307, 56689, 31678, 0, 2345, 0, 102, 100, 119, 92, 116, 0, 0, 0, 0, 0
0.049188, 57299, 56665, 31676, 0, 2290, 44, 102, 100, 119, 92, 116, 0, 0, 0, 0, 0
0.057265, 57283, 56621, 31672, 0, 2256, 88, 102, 102, 119, 89, 116, 0, 0, 0, 0, 0
0.063348, 57276, 56598, 31669, 0, 2312, 188, 102, 102, 119, 89, 116, 0, 0, 0, 0, 0
0.076105, 57253, 56529, 31660, 0, 2379, 366, 102, 100, 119, 92, 116, 0, 0, 0, 0, 0
0.082586, 57246, 56504, 31656, 0, 2456, 500, 102, 100, 119, 89, 116, 0, 0, 0, 0, 0
0.089247, 57240, 56479, 31652, 0, 2545, 566, 102, 102, 119, 89, 116, 0, 0, 0, 0, 0
0.108351, 57216, 56371, 31633, 0, 2823, 800, 99, 98, 113, 87, 112, 0, 0, 0, 0, 0
0.114370, 57210, 56343, 31628, 0, 2845, 833, 99, 98, 116, 87, 114, 0, 0, 0, 0, 0
0.122204, 57199, 56285, 31617, 0, 2901, 855, 99, 98, 113, 87, 112, 0, 0, 0, 0, 0
0.128280, 57193, 56256, 31611, 0, 2901, 855, 99, 98, 116, 87, 112, 0, 0, 0, 0, 0
0.134346, 57188, 56227, 31606, 0, 2912, 667, 96, 98, 113, 87, 114, 0, 0, 0, 0, 0
0.141361, 57178, 56176, 31605, 11, 2512, 0, 99, 98, 116, 87, 112, 0, 0, 0, 0, 0
0.147389, 57174, 56151, 31608, 211, 2390, 0, 99, 98, 116, 87, 112, 0, 0, 0, 0, 0
0.173073, 57144, 56014, 31676, 867, 2190, 0, 99, 95, 113, 87, 112, 0, 0, 0, 0, 0
0.179071, 57140, 56002, 31703, 1167, 933, 0, 99, 98, 116, 87, 114, 0, 0, 0, 0, 0
0.187209, 57132, 55928, 31743, 1356, 3913, 0, 99, 98, 116, 87, 112, 0, 0, 0, 0, 0
0.193263, 57125, 55875, 31759, 1089, 5202, 0, 99, 98, 113, 87, 112, 0, 0, 0, 0, 0
0.199010, 57118, 55817, 31773, 1056, 5702, 0, 99, 98, 113, 87, 112, 0, 0, 0, 0, 0
0.206336, 57100, 55701, 31792, 55, 5080, 0, 99, 98, 116, 87, 112, 0, 0, 0, 0, 0
0.212434, 57088, 55610, 31777, 0, 8526, 2857, 99, 98, 116, 87, 114, 0, 0, 0, 0, 0
0.219010, 57079, 55535, 31759, 0, 7959, 3913, 99, 95, 116, 87, 114, 0, 0, 0, 0, 0
0.226401, 57058, 55387, 31692, 0, 7070, 6381, 99, 98, 116, 87, 114, 0, 0, 0, 0, 0
0.232337, 57048, 55325, 31654, 0, 6103, 6158, 99, 98, 116, 87, 112, 0, 0, 0, 0, 0
0.238322, 57036, 55266, 31614, 0, 5825, 5936, 99, 98, 113, 87, 112, 0, 0, 0, 0, 0
0.244317, 57021, 55204, 31577, 0, 6058, 5625, 99, 98, 116, 87, 112, 0, 0, 0, 0, 0
0.251986, 56991, 55077, 31508, 0, 6458, 4913, 99, 98, 116, 87, 112, 0, 0, 0, 0, 0
0.258091, 56976, 55011, 31473, 0, 6714, 4846, 99, 98, 116, 87, 112, 0, 0, 0, 0, 0
0.264297, 56962, 54944, 31443, 0, 6558, 4179, 99, 98, 113, 87, 114, 0, 0, 0, 0, 0
0.271311, 56933, 54870, 31426, 0, 1989, 0, 99, 98, 113, 87, 114, 0, 0, 0, 0, 0
0.283390, 56907, 54716, 31396, 0, 7014, 744, 99, 98, 113, 87, 114, 0, 0, 0, 0, 0
0.290215, 56892, 54661, 31399, 0, 5336, 0, 99, 98, 116, 87, 112, 0, 0, 0, 0, 0
0.297347, 56864, 54530, 31399, 122, 6636, 0, 99, 98, 116, 87, 112, 0, 0, 0, 0, 0
0.303311, 56852, 54472, 31404, 66, 5991, 0, 99, 98, 113, 87, 114, 0, 0, 0, 0, 0
0.309342, 56839, 54409, 31406, 166, 5991, 0, 99, 98, 116, 87, 112, 0, 0, 0, 0, 0
0.317090, 56819, 54283, 31401, 255, 6225, 200, 99, 98, 116, 87, 114, 0, 0, 0, 0, 0
0.323234, 56808, 54221, 31397, 55, 6125, 366, 99, 98, 116, 87, 112, 0, 0, 0, 0, 0
0.329288, 56797, 54162, 31392, 0, 6103, 511, 99, 98, 116, 87, 114, 0, 0, 0, 0, 0
0.336443, 56774, 54051, 31379, 0, 5658, 789, 99, 98, 116, 87, 112, 0, 0, 0, 0, 0
