time, yaw, pitch, roll, gx, gy, gz, f1, f2, f3, f4, f5, p1, p2, p3, p4, p5
1.526460, 48318, 58272, 24523, 0, 0, 0, 127, 122, 187, 119, 128, 0, 0, 0, 0, 0
1.528239, 48282, 58342, 24516, 0, 0, 0, 127, 120, 187, 119, 128, 0, 0, 0, 0, 0
1.528696, 48214, 58473, 24508, 0, 0, 0, 127, 122, 187, 119, 128, 0, 0, 0, 0, 0
1.529134, 48181, 58534, 24507, 0, 0, 0, 127, 122, 187, 119, 128, 0, 0, 0, 0, 0
1.529551, 48148, 58592, 24510, 0, 0, 0, 127, 120, 187, 119, 128, 0, 0, 0, 0, 0
1.529967, 48083, 58701, 24527, 0, 0, 0, 127, 122, 187, 119, 128, 0, 0, 0, 0, 0
1.530410, 48051, 58752, 24542, 0, 0, 0, 127, 120, 187, 119, 128, 0, 0, 0, 0, 0
1.530858, 48018, 58801, 24562, 0, 188, 0, 127, 122, 187, 119, 128, 0, 0, 0, 0, 0
1.531814, 47913, 58925, 24643, 0, 1167, 0, 127, 120, 187, 119, 128, 0, 0, 0, 0, 0
1.532305, 47876, 58961, 24674, 0, 1556, 0, 127, 122, 187, 116, 128, 0, 0, 0, 0, 0
1.532833, 47839, 58994, 24707, 0, 1823, 0, 127, 120, 187, 119, 128, 0, 0, 0, 0, 0
1.533245, 47764, 59055, 24768, 0, 2067, 0, 127, 122, 187, 119, 128, 0, 0, 0, 0, 0
1.533730, 47726, 59084, 24797, 0, 2290, 0, 127, 120, 187, 119, 126, 0, 0, 0, 0, 0
1.534135, 47689, 59109, 24824, 0, 2367, 0, 127, 122, 187, 116, 128, 0, 0, 0, 0, 0
1.534609, 47617, 59156, 24875, 0, 2556, 0, 127, 120, 184, 114, 123, 0, 0, 0, 0, 0
1.535594, 47546, 59194, 24922, 0, 2957, 0, 122, 117, 181, 111, 123, 0, 0, 0, 0, 0
1.536003, 47510, 59206, 24944, 0, 3212, 0, 122, 117, 181, 114, 123, 0, 0, 0, 0, 0
1.536434, 47443, 59227, 24989, 0, 3412, 0, 122, 117, 179, 114, 123, 0, 0, 0, 0, 0
1.536865, 47410, 59231, 25013, 0, 3624, 0, 122, 117, 181, 114, 123, 0, 0, 0, 0, 0
1.537280, 47376, 59235, 25037, 0, 3824, 0, 122, 117, 181, 114, 123, 0, 0, 0, 0, 0
1.537787, 47305, 59239, 25087, 0, 4068, 0, 122, 117, 181, 111, 123, 0, 0, 0, 0, 0
1.538233, 47268, 59241, 25113, 0, 4113, 0, 122, 117, 181, 111, 123, 0, 0, 0, 0, 0
1.538647, 47229, 59244, 25137, 0, 4302, 0, 122, 115, 181, 114, 123, 0, 0, 0, 0, 0
1.539079, 47148, 59256, 25183, 0, 4013, 0, 122, 117, 181, 114, 123, 0, 0, 0, 0, 0
1.539563, 47107, 59267, 25203, 0, 3701, 0, 122, 115, 179, 111, 123, 0, 0, 0, 0, 0
1.540003, 47066, 59283, 25223, 0, 3390, 0, 122, 117, 181, 111, 123, 0, 0, 0, 0, 0
1.540486, 47025, 59302, 25243, 0, 3023, 0, 122, 117, 181, 114, 123, 0, 0, 0, 0, 0
1.540963, 46941, 59346, 25281, 0, 2823, 0, 124, 117, 179, 114, 123, 0, 0, 0, 0, 0
1.541382, 46899, 59370, 25301, 0, 2556, 0, 122, 117, 181, 111, 123, 0, 0, 0, 0, 0
1.541815, 46859, 59394, 25321, 0, 2456, 0, 122, 117, 181, 114, 123, 0, 0, 0, 0, 0
1.542244, 46783, 59443, 25366, 0, 2190, 0, 122, 117, 181, 114, 123, 0, 0, 0, 0, 0
1.542677, 46749, 59465, 25391, 0, 2101, 0, 122, 117, 179, 111, 123, 0, 0, 0, 0, 0
1.543105, 46717, 59484, 25417, 0, 2101, 0, 122, 117, 179, 111, 123, 0, 0, 0, 0, 0
1.543534, 46660, 59516, 25475, 0, 2190, 0, 124, 117, 181, 114, 123, 0, 0, 0, 0, 0
1.543963, 46635, 59526, 25507, 0, 2267, 0, 122, 115, 181, 111, 123, 0, 0, 0, 0, 0
1.544393, 46612, 59534, 25541, 0, 2412, 0, 122, 117, 181, 111, 123, 0, 0, 0, 0, 0
1.544847, 46590, 59538, 25576, 0, 2534, 0, 122, 117, 181, 114, 123, 0, 0, 0, 0, 0
1.546836, 46475, 59538, 25785, 0, 2367, 0, 124, 117, 181, 114, 123, 0, 0, 0, 0, 0
1.547267, 46456, 59539, 25816, 0, 2223, 0, 124, 117, 179, 114, 123, 0, 0, 0, 0, 0
1.547699, 46437, 59543, 25845, 0, 2067, 0, 124, 117, 181, 111, 123, 0, 0, 0, 0, 0
1.548190, 46398, 59553, 25897, 0, 1823, 0, 124, 120, 181, 116, 126, 0, 0, 0, 0, 0
1.548622, 46379, 59559, 25919, 0, 1723, 0, 122, 117, 179, 111, 123, 0, 0, 0, 0, 0
1.549103, 46361, 59566, 25938, 0, 1456, 0, 122, 115, 179, 111, 123, 0, 0, 0, 0, 0
1.549521, 46328, 59579, 25968, 0, 1289, 0, 124, 115, 181, 111, 121, 0, 0, 0, 0, 0
1.549957, 46313, 59585, 25980, 0, 1189, 0, 122, 117, 181, 114, 123, 0, 0, 0, 0, 0
1.550389, 46299, 59590, 25991, 0, 1145, 0, 124, 115, 181, 111, 123, 0, 0, 0, 0, 0
1.550821, 46285, 59593, 26000, 0, 1189, 0, 122, 117, 179, 114, 123, 0, 0, 0, 0, 0
1.551252, 46261, 59597, 26019, 0, 1189, 0, 122, 117, 179, 111, 123, 0, 0, 0, 0, 0
1.551728, 46250, 59597, 26030, 0, 1211, 0, 124, 117, 179, 111, 123, 0, 0, 0, 0, 0
1.552141, 46240, 59596, 26041, 0, 1267, 0, 122, 117, 179, 111, 123, 0, 0, 0, 0, 0
1.552574, 46221, 59591, 26067, 0, 1411, 0, 122, 115, 181, 111, 123, 0, 0, 0, 0, 0
1.553014, 46212, 59587, 26082, 0, 1534, 0, 122, 117, 179, 111, 123, 0, 0, 0, 0, 0
1.553488, 46203, 59580, 26097, 0, 1678, 0, 122, 115, 179, 111, 123, 0, 0, 0, 0, 0
1.553919, 46187, 59563, 26128, 0, 1923, 0, 122, 115, 179, 111, 123, 0, 0, 0, 0, 0
