time, note, velocity
8.969274, 60, 55
10.036267, 64, 60
10.136124, 60, 0
11.674025, 60, 70
11.698084, 64, 0
12.237010, 62, 78
12.257087, 60, 0
12.733252, 59, 81
12.763148, 62, 0
13.243065, 60, 84
13.277019, 59, 0
14.246292, 64, 66
14.285146, 60, 0
15.765807, 60, 70
15.788991, 64, 0
16.289038, 65, 77
16.312729, 60, 0
17.006033, 64, 87
17.054039, 65, 0
17.287931, 62, 95
17.358947, 64, 0
18.329835, 65, 87
18.357795, 62, 0
19.802795, 64, 83
19.843897, 65, 0
20.334311, 62, 87
20.404895, 64, 0
20.807001, 64, 84
20.838965, 62, 0
21.287683, 64, 0
21.319721, 65, 83
21.852222, 67, 85
21.908742, 65, 0
22.387118, 69, 85
22.424762, 67, 0
23.898170, 67, 78
23.932578, 69, 0
24.448757, 65, 71
24.473931, 67, 0
25.512727, 69, 59
25.562591, 65, 0
26.593181, 71, 71
26.657829, 69, 0
28.329577, 69, 64
28.417602, 71, 0
28.853284, 67, 80
28.887680, 69, 0
29.840468, 71, 91
29.876587, 67, 0
30.878021, 72, 77
30.952771, 71, 0
31.516503, 71, 93
31.568349, 72, 0
32.048320, 69, 83
32.114440, 71, 0
32.497354, 67, 97
32.532411, 69, 0
32.981565, 65, 100
33.019521, 67, 0
33.460880, 64, 89
33.518447, 65, 0
33.950639, 62, 81
33.982366, 64, 0
34.458333, 60, 78
34.476379, 62, 0
34.962371, 62, 73
34.994447, 60, 0
36.590517, 65, 57
36.668285, 62, 0
37.149755, 64, 72
37.219417, 65, 0
38.250706, 67, 63
38.295186, 64, 0
39.358293, 60, 59
39.382084, 67, 0
41.600313, 60, 0
42.026849, 60, 69
42.695244, 62, 79
42.759112, 60, 0
43.170088, 64, 86
43.211224, 62, 0
43.631145, 64, 0
43.633334, 65, 78
44.089282, 67, 85
44.140197, 65, 0
44.587443, 69, 82
44.628306, 67, 0
45.399509, 67, 77
45.428114, 69, 0
45.697295, 65, 75
45.734312, 67, 0
46.736032, 72, 83
46.788205, 65, 0
47.779364, 71, 83
47.818984, 72, 0
48.928446, 67, 63
48.989941, 71, 0
50.061876, 65, 53
50.106983, 67, 0
50.576332, 64, 84
50.657857, 65, 0
51.121900, 62, 84
51.157888, 64, 0
52.243815, 67, 67
52.307807, 62, 0
53.312118, 64, 63
53.370843, 67, 0
55.401794, 60, 47
55.427733, 64, 0
56.322770, 60, 0
56.430412, 62, 59
56.901786, 64, 75
56.937705, 62, 0
57.432848, 64, 0
57.450068, 65, 74
57.921647, 67, 77
58.099591, 65, 0
58.401137, 69, 85
58.457554, 67, 0
58.876767, 71, 103
58.940521, 69, 0
59.444062, 72, 95
59.468546, 71, 0
59.947798, 67, 89
59.999503, 72, 0
60.498587, 71, 91
60.544685, 67, 0
62.295592, 69, 51
62.396459, 71, 0
62.912507, 65, 62
62.981449, 69, 0
63.921870, 64, 72
64.000605, 65, 0
64.416531, 62, 68
64.463636, 64, 0
65.032470, 64, 66
65.061365, 62, 0
66.103401, 60, 58
66.110300, 64, 0
67.182283, 69, 53
67.211715, 67, 41
67.211736, 60, 0
67.283361, 67, 0
68.355598, 67, 52
68.404414, 69, 0
69.564384, 64, 44
69.626384, 67, 0
72.249348, 64, 0
73.453392, 60, 58
74.091196, 62, 68
74.142300, 60, 0
74.618285, 64, 81
74.623111, 62, 0
75.095014, 64, 0
75.103673, 65, 95
75.693670, 72, 97
75.715231, 65, 0
76.279443, 71, 95
76.321051, 72, 0
76.791484, 67, 97
76.818090, 71, 0
77.969591, 69, 74
77.979999, 67, 0
78.528445, 71, 91
78.529827, 69, 0
79.059372, 72, 100
79.104833, 71, 0
79.589013, 79, 89
79.604387, 77, 80
79.614073, 72, 0
79.653098, 77, 0
80.219348, 77, 93
80.560086, 79, 0
80.739894, 74, 95
80.803232, 77, 0
81.241091, 76, 98
81.291889, 74, 0
82.260879, 76, 0
82.307283, 76, 112
82.974890, 74, 95
83.023918, 76, 0
83.457369, 72, 100
83.471852, 74, 0
83.940852, 79, 89
83.979152, 72, 0
84.517790, 72, 103
84.545741, 79, 0
85.041871, 81, 103
85.079955, 72, 0
85.660775, 79, 83
85.709880, 81, 0
86.187868, 72, 95
86.235737, 79, 0
86.754453, 77, 82
86.790697, 72, 0
87.283817, 76, 91
87.313621, 77, 0
87.805690, 79, 87
87.821870, 76, 0
88.355049, 74, 85
88.389633, 79, 0
88.941704, 77, 85
88.988670, 74, 0
89.589903, 76, 75
89.627936, 77, 0
90.224557, 79, 68
90.240778, 76, 0
91.024775, 74, 30
91.129652, 74, 0
91.212496, 74, 45
91.374687, 79, 0
91.756185, 77, 56
91.833550, 74, 0
92.485612, 76, 69
92.513542, 77, 0
93.279488, 74, 60
93.298376, 76, 0
94.195944, 76, 49
94.230438, 74, 0
95.060575, 76, 0
95.064475, 72, 60
96.515800, 84, 41
96.532710, 83, 45
96.600380, 83, 0
96.611692, 72, 0
98.435998, 72, 49
98.496364, 84, 0
99.044499, 84, 36
99.147288, 72, 0
99.651852, 72, 40
99.697410, 84, 0
100.259425, 76, 33
100.262335, 72, 0
100.268380, 77, 31
100.441284, 77, 0
100.833713, 79, 50
100.891508, 76, 0
101.429052, 81, 50
101.431661, 72, 25
101.434588, 76, 39
101.437599, 79, 0
102.195314, 72, 0
102.236453, 79, 51
102.244131, 76, 0
102.310337, 81, 0
102.675309, 77, 65
102.714306, 79, 0
103.265668, 76, 80
103.292321, 77, 0
103.848197, 79, 77
103.908221, 76, 0
104.452294, 77, 87
104.484098, 79, 0
104.987142, 76, 83
104.990278, 77, 0
105.445731, 74, 80
105.539449, 76, 0
105.958261, 72, 93
105.996456, 74, 0
106.490501, 71, 87
106.526125, 72, 0
106.995956, 74, 67
107.063120, 71, 0
107.542387, 72, 77
107.571133, 74, 0
108.081182, 71, 77
108.101106, 72, 0
108.736131, 72, 75
108.773015, 71, 0
109.358133, 74, 46
109.420344, 72, 0
109.943067, 76, 63
109.988382, 74, 0
110.574105, 72, 51
110.643986, 76, 0
111.171060, 77, 43
111.235982, 72, 0
111.756829, 72, 65
111.791948, 77, 0
112.414497, 79, 71
112.460878, 72, 0
113.069329, 72, 87
113.105984, 79, 0
113.839554, 79, 78
113.886957, 72, 0
114.558569, 77, 51
114.627115, 79, 0
115.153950, 76, 78
115.229954, 77, 0
115.705249, 74, 78
115.757055, 76, 0
116.219370, 77, 67
116.271781, 74, 0
116.692080, 76, 87
116.744811, 77, 0
117.191122, 72, 95
117.226709, 76, 0
117.772297, 79, 89
117.819762, 72, 0
118.265978, 72, 85
118.343565, 79, 0
118.814834, 77, 62
118.872938, 72, 0
119.557615, 76, 63
119.669754, 77, 0
120.149215, 74, 71
120.211875, 76, 0
120.762781, 76, 56
120.835628, 74, 0
121.468624, 72, 55
121.548794, 76, 0
123.682658, 72, 0
