time, note, velocity
3.779351, 67, 62
4.448231, 67, 0
4.584605, 67, 75
5.255999, 67, 0
5.387275, 67, 87
6.073953, 67, 0
6.241363, 67, 103
6.977307, 67, 0
7.178515, 67, 56
7.907129, 67, 0
8.154566, 67, 62
8.822214, 67, 0
9.038703, 67, 65
9.713114, 67, 0
9.939101, 67, 59
10.625017, 67, 0
10.862905, 67, 87
11.563011, 67, 0
11.788461, 67, 103
12.490035, 67, 0
12.729326, 67, 68
13.422895, 67, 0
13.689263, 67, 44
14.308935, 67, 0
14.556808, 67, 41
15.174837, 67, 0
15.442931, 67, 48
16.105964, 67, 0
16.355435, 67, 82
17.023952, 67, 0
17.259876, 67, 98
17.942804, 67, 0
18.186415, 67, 97
18.896639, 67, 0
19.142069, 67, 67
19.864714, 67, 0
20.105619, 67, 39
20.792563, 67, 0
21.052104, 67, 36
21.733609, 67, 0
22.022748, 67, 28
22.725562, 67, 0
22.973562, 67, 39
23.620487, 67, 0
23.872035, 67, 50
24.471729, 67, 0
24.711151, 67, 80
25.409399, 67, 0
25.661735, 67, 103
26.363366, 67, 0
26.586507, 67, 103
27.281609, 67, 0
27.541376, 67, 109
28.178532, 67, 0
28.462387, 67, 117
29.126469, 67, 0
29.399526, 67, 103
30.065432, 67, 0
30.407459, 67, 52
31.001256, 67, 0
31.314239, 67, 39
31.928389, 67, 0
32.267837, 67, 55
32.873280, 67, 0
33.170182, 67, 44
33.748339, 67, 0
34.083275, 67, 91
34.756161, 67, 0
35.019778, 67, 78
35.635002, 67, 0
35.967180, 67, 72
36.642201, 67, 0
36.872287, 67, 74
37.652086, 67, 0
37.857018, 67, 91
38.565023, 67, 0
38.779357, 67, 95
39.519877, 67, 0
39.743355, 67, 93
40.492813, 67, 0
40.764046, 67, 33
41.437026, 67, 0
41.754014, 67, 35
42.369985, 67, 0
42.771744, 67, 27
43.358893, 67, 0
43.721788, 67, 27
44.352741, 67, 0
44.743269, 67, 32
45.356966, 67, 0
45.745460, 67, 29
46.259144, 67, 0
46.670793, 67, 39
47.252848, 67, 0
47.586061, 67, 41
48.135582, 67, 0
48.571758, 67, 34
49.142596, 67, 0
49.556778, 67, 47
50.223690, 67, 0
50.531382, 67, 41
51.139758, 67, 0
51.526471, 67, 39
52.077704, 67, 0
52.464457, 67, 42
53.103498, 67, 0
53.497146, 67, 31
54.014692, 67, 0
54.393613, 67, 34
55.002722, 67, 0
55.259487, 67, 43
55.815413, 67, 0
56.236042, 67, 26
56.795725, 67, 0
57.199589, 67, 26
57.751577, 67, 0
58.169453, 67, 23
58.753384, 67, 0
59.119497, 67, 20
59.687426, 67, 0
60.059563, 67, 24
60.608332, 67, 0
61.071777, 67, 20
61.527086, 67, 0
62.025557, 67, 22
62.407364, 67, 0
63.015351, 67, 17
63.326222, 67, 0
64.019169, 67, 23
64.442142, 67, 0
65.012346, 67, 26
65.401511, 67, 0
65.976047, 67, 32
66.429012, 67, 0
66.999649, 67, 37
67.391144, 67, 0
67.994150, 67, 49
68.389954, 67, 0
69.051105, 67, 47
69.430091, 67, 0
70.050958, 67, 37
70.417043, 67, 0
71.024273, 67, 29
71.414971, 67, 0
72.026994, 67, 24
72.377017, 67, 0
73.101117, 67, 33
73.431879, 67, 0
74.184078, 67, 17
74.586839, 67, 0
75.219234, 67, 48
75.567841, 67, 0
76.195411, 67, 30
76.541751, 67, 0
77.201340, 67, 72
77.567875, 67, 0
78.233818, 67, 26
78.568725, 67, 0
79.313379, 67, 69
79.800890, 67, 0
80.465092, 67, 20
80.841708, 67, 0
81.588747, 67, 43
82.067558, 67, 0
