previous_finger, present_finger, note_increment
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
4, 4, 0
