time, yaw, pitch, roll, gx, gy, gz, f1, f2, f3, f4, f5, p1, p2, p3, p4, p5
1.483027, 53392, 5572, 35575, 0, 255, 2390, 119, 144, 119, 72, 71, 0, 0, 0, 0, 0
1.483484, 53387, 5565, 35564, 0, 300, 2145, 122, 144, 119, 72, 71, 0, 0, 0, 0, 0
1.483984, 53381, 5557, 35555, 0, 300, 1967, 119, 144, 119, 72, 73, 0, 0, 0, 0, 0
1.484407, 53368, 5542, 35538, 0, 133, 1878, 119, 144, 119, 72, 71, 0, 0, 0, 0, 0
1.484911, 53361, 5536, 35530, 0, 0, 2001, 119, 144, 119, 72, 71, 0, 0, 0, 0, 0
1.485364, 53355, 5532, 35520, 0, 0, 2234, 119, 144, 116, 72, 71, 0, 0, 0, 0, 0
1.485878, 53342, 5527, 35498, 0, 0, 2857, 119, 144, 119, 72, 71, 0, 0, 0, 0, 0
1.486265, 53336, 5527, 35483, 0, 0, 3301, 119, 144, 119, 72, 71, 0, 0, 0, 0, 0
1.486700, 53331, 5529, 35467, 0, 0, 3746, 119, 144, 119, 72, 71, 0, 0, 0, 0, 0
1.487200, 53326, 5532, 35448, 0, 0, 4157, 119, 144, 119, 72, 71, 0, 0, 0, 0, 0
1.487647, 53320, 5540, 35407, 300, 0, 4480, 119, 144, 119, 72, 71, 0, 0, 0, 0, 0
1.488142, 53319, 5544, 35383, 489, 0, 4980, 119, 144, 116, 72, 73, 0, 0, 0, 0, 0
1.488553, 53317, 5549, 35358, 611, 0, 5224, 122, 144, 119, 72, 73, 0, 0, 0, 0, 0
1.488987, 53317, 5565, 35306, 944, 0, 5258, 119, 144, 116, 72, 73, 0, 0, 0, 0, 0
1.489421, 53318, 5573, 35280, 1156, 0, 5313, 119, 144, 116, 72, 71, 0, 0, 0, 0, 0
1.489855, 53320, 5582, 35253, 1411, 0, 5447, 117, 142, 113, 70, 69, 0, 0, 0, 0, 0
1.490294, 53328, 5602, 35198, 1900, 0, 5747, 117, 142, 113, 68, 69, 0, 0, 0, 0, 0
1.490734, 53333, 5612, 35169, 2145, 0, 6147, 117, 142, 113, 68, 69, 0, 0, 0, 0, 0
1.491179, 53339, 5626, 35138, 2412, 0, 6625, 117, 139, 113, 68, 69, 0, 0, 0, 0, 0
1.492142, 53358, 5689, 35029, 2979, 0, 7915, 117, 142, 113, 68, 69, 0, 0, 0, 0, 0
1.492566, 53365, 5718, 34989, 3290, 0, 8382, 117, 142, 113, 68, 71, 0, 0, 0, 0, 0
1.493102, 53374, 5751, 34945, 3646, 0, 8826, 117, 142, 113, 70, 69, 0, 0, 0, 0, 0
1.493733, 53394, 5821, 34853, 4191, 0, 9349, 117, 142, 113, 70, 71, 0, 0, 0, 0, 0
1.494201, 53407, 5855, 34805, 4424, 0, 9371, 117, 142, 113, 70, 71, 0, 0, 0, 0, 0
1.494679, 53421, 5888, 34757, 4613, 0, 9282, 117, 142, 113, 70, 73, 0, 0, 0, 0, 0
1.495093, 53452, 5948, 34661, 4913, 0, 8804, 117, 142, 113, 68, 71, 0, 0, 0, 0, 0
1.495530, 53470, 5976, 34615, 5069, 0, 8426, 117, 142, 113, 70, 71, 0, 0, 0, 0, 0
1.496524, 53531, 6052, 34486, 5458, 0, 7036, 117, 142, 113, 70, 73, 0, 0, 0, 0, 0
1.497012, 53553, 6075, 34448, 5580, 0, 6558, 117, 142, 113, 70, 73, 0, 0, 0, 0, 0
1.497447, 53577, 6096, 34411, 5702, 0, 6092, 117, 142, 113, 68, 73, 0, 0, 0, 0, 0
1.497886, 53602, 6116, 34376, 5880, 0, 5669, 117, 142, 113, 68, 73, 0, 0, 0, 0, 0
1.498322, 53656, 6155, 34310, 6470, 0, 5224, 117, 142, 113, 70, 76, 0, 0, 0, 0, 0
1.498823, 53686, 6173, 34277, 6803, 0, 5213, 117, 142, 113, 68, 76, 0, 0, 0, 0, 0
1.499279, 53717, 6192, 34243, 7170, 0, 5425, 117, 142, 113, 70, 78, 0, 0, 0, 0, 0
1.499711, 53785, 6228, 34166, 7937, 0, 6381, 117, 142, 113, 70, 78, 0, 0, 0, 0, 0
1.500519, 53821, 6246, 34123, 8204, 0, 6859, 117, 142, 113, 68, 78, 0, 0, 0, 0, 0
1.500993, 53858, 6266, 34077, 8437, 0, 7225, 117, 142, 113, 70, 81, 0, 0, 0, 0, 0
1.501455, 53935, 6309, 33981, 8804, 0, 7403, 117, 142, 113, 70, 81, 0, 0, 0, 0, 0
