time, note, velocity
5.845146, 65, 71
6.738867, 65, 0
6.974795, 65, 72
7.988605, 65, 0
8.166900, 65, 77
9.188788, 65, 0
9.442951, 65, 77
10.473706, 65, 0
10.729708, 65, 112
11.839708, 65, 0
12.048719, 65, 120
13.144909, 65, 0
13.350646, 65, 123
14.516554, 65, 0
14.754641, 65, 74
15.810962, 65, 0
16.035056, 65, 32
16.980551, 65, 0
17.224584, 65, 27
18.303414, 65, 0
18.509362, 65, 32
19.498692, 65, 0
19.711900, 65, 50
20.671453, 65, 0
20.879395, 65, 93
21.786159, 65, 0
21.984463, 65, 103
22.918367, 65, 0
23.131457, 65, 57
24.035184, 65, 0
24.292140, 65, 53
25.185251, 65, 0
25.461065, 65, 62
26.322159, 65, 0
26.557350, 65, 98
27.458237, 65, 0
27.678527, 65, 62
28.735055, 65, 0
28.880020, 65, 93
29.857097, 65, 0
29.999101, 65, 100
30.969085, 65, 0
31.115485, 65, 112
32.075159, 65, 0
32.224541, 65, 122
33.189069, 65, 0
33.337317, 65, 122
34.298934, 65, 0
34.451060, 65, 122
35.411811, 65, 0
35.579848, 65, 83
36.586033, 65, 0
36.747914, 65, 55
37.706714, 65, 0
37.959772, 65, 31
38.870985, 65, 0
39.065027, 65, 67
39.930771, 65, 0
40.112767, 65, 83
40.982758, 65, 0
41.200192, 65, 82
42.055774, 65, 0
42.324430, 65, 87
43.211712, 65, 0
43.464715, 65, 33
43.479608, 64, 47
43.661596, 64, 0
44.325460, 65, 0
44.615364, 65, 85
45.566422, 65, 0
45.808532, 65, 100
46.669353, 65, 0
46.922276, 65, 103
47.880393, 65, 0
48.098290, 65, 77
49.059241, 65, 0
49.271081, 65, 69
50.211470, 65, 0
50.438133, 65, 77
51.354286, 65, 0
51.579456, 65, 67
52.464349, 65, 0
52.702651, 65, 82
53.686199, 65, 0
53.862029, 65, 95
54.816158, 65, 0
55.024469, 65, 107
55.976465, 65, 0
56.178361, 65, 109
57.168344, 65, 0
57.370095, 65, 107
58.301106, 65, 0
58.527823, 65, 112
59.430152, 65, 0
59.643158, 65, 119
60.592866, 65, 0
60.809976, 65, 117
61.758150, 65, 0
61.966910, 65, 119
62.896904, 65, 0
63.104441, 65, 85
64.056014, 65, 0
64.235864, 65, 74
65.160878, 65, 0
65.402909, 65, 74
66.355058, 65, 0
66.612319, 65, 65
67.482867, 65, 0
67.747510, 65, 57
68.618700, 65, 0
68.870755, 65, 83
69.824814, 65, 0
70.035031, 65, 82
70.987660, 65, 0
71.216670, 65, 78
72.206774, 65, 0
72.382622, 65, 91
73.415545, 65, 0
73.575686, 65, 95
74.514576, 65, 0
74.752700, 65, 100
75.775401, 65, 0
75.963632, 65, 109
77.007536, 65, 0
77.193413, 65, 74
77.213417, 64, 68
77.346457, 64, 0
78.278508, 65, 0
78.466927, 65, 98
79.513231, 65, 0
79.661364, 65, 105
80.779568, 65, 0
80.943331, 65, 98
81.963532, 65, 0
82.148457, 65, 103
83.174423, 65, 0
83.363382, 65, 107
84.378354, 65, 0
84.557231, 65, 114
85.512256, 65, 0
85.758746, 65, 117
86.716227, 65, 0
86.941216, 65, 83
87.917249, 65, 0
88.196353, 65, 24
88.204054, 64, 33
88.447048, 64, 0
89.131227, 65, 0
89.373789, 65, 53
90.434939, 65, 0
90.670961, 65, 62
91.653071, 65, 0
91.864427, 65, 55
92.760997, 65, 0
93.022003, 65, 62
94.085138, 65, 0
94.301268, 65, 63
95.275022, 65, 0
95.513090, 65, 57
96.437956, 65, 0
96.689861, 65, 47
97.634780, 65, 0
97.850016, 65, 50
98.744597, 65, 0
99.016715, 65, 35
99.939704, 65, 0
100.169251, 65, 36
101.084816, 65, 0
101.280384, 65, 44
102.090930, 65, 0
102.545968, 65, 42
103.413738, 65, 0
103.783790, 65, 40
104.595729, 65, 0
104.924294, 65, 37
105.729664, 65, 0
106.085505, 65, 49
106.939348, 65, 0
107.323545, 65, 28
108.059535, 65, 0
108.512424, 65, 41
109.386355, 65, 0
109.876702, 65, 47
110.603440, 65, 0
111.148639, 65, 39
111.942216, 65, 0
112.474383, 65, 82
113.244551, 65, 0
113.630176, 65, 97
114.578267, 65, 0
115.009325, 65, 48
115.931223, 65, 0
116.343195, 65, 71
118.594178, 65, 0
