previous_finger, present_finger, note_increment
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, -1
3, 3, 1
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 0, 0
0, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
3, 3, 0
