time, yaw, pitch, roll, gx, gy, gz, f1, f2, f3, f4, f5, p1, p2, p3, p4, p5
1.476030, 62860, 56043, 26389, 0, 0, 4168, 66, 78, 179, 63, 73, 0, 0, 0, 0, 0
1.476467, 62805, 56168, 26347, 0, 0, 3612, 68, 78, 179, 63, 73, 0, 0, 0, 0, 0
1.476903, 62696, 56411, 26273, 0, 0, 2879, 68, 78, 179, 63, 73, 0, 0, 0, 0, 0
1.478332, 62550, 56755, 26183, 0, 0, 1834, 66, 78, 179, 63, 73, 0, 0, 0, 0, 0
1.478776, 62453, 56965, 26146, 0, 0, 422, 68, 78, 179, 63, 73, 0, 0, 0, 0, 0
1.479223, 62405, 57067, 26131, 0, 0, 0, 68, 78, 179, 63, 73, 0, 0, 0, 0, 0
1.479632, 62354, 57170, 26120, 0, 0, 0, 68, 78, 176, 63, 73, 0, 0, 0, 0, 0
1.480055, 62246, 57380, 26109, 0, 0, 0, 68, 78, 179, 60, 73, 0, 0, 0, 0, 0
1.480585, 62186, 57488, 26110, 0, 0, 0, 68, 78, 176, 63, 73, 0, 0, 0, 0, 0
1.480983, 62120, 57596, 26114, 0, 0, 0, 68, 78, 176, 63, 73, 0, 0, 0, 0, 0
1.481459, 61982, 57813, 26130, 0, 0, 0, 68, 78, 176, 63, 73, 0, 0, 0, 0, 0
1.481880, 61911, 57919, 26141, 0, 0, 0, 68, 78, 176, 63, 73, 0, 0, 0, 0, 0
1.482307, 61844, 58019, 26151, 0, 0, 0, 68, 78, 176, 63, 73, 0, 0, 0, 0, 0
1.482733, 61779, 58114, 26161, 0, 0, 0, 66, 76, 170, 60, 71, 0, 0, 0, 0, 0
1.483165, 61664, 58285, 26172, 0, 0, 0, 66, 76, 170, 60, 69, 0, 0, 0, 0, 0
1.483591, 61615, 58362, 26169, 0, 0, 0, 63, 76, 170, 60, 71, 0, 0, 0, 0, 0
1.484017, 61570, 58433, 26162, 0, 0, 55, 66, 76, 170, 58, 69, 0, 0, 0, 0, 0
1.484961, 61469, 58607, 26098, 0, 0, 3813, 66, 76, 170, 58, 69, 0, 0, 0, 0, 0
1.485457, 61446, 58652, 26067, 0, 0, 4613, 66, 76, 170, 60, 69, 0, 0, 0, 0, 0
1.485890, 61403, 58731, 26002, 0, 811, 4791, 66, 76, 170, 58, 69, 0, 0, 0, 0, 0
1.486376, 61383, 58764, 25971, 0, 1111, 4446, 63, 76, 170, 58, 69, 0, 0, 0, 0, 0
1.486819, 61360, 58794, 25942, 0, 1245, 3635, 66, 76, 170, 60, 69, 0, 0, 0, 0, 0
1.487260, 61337, 58822, 25919, 0, 1211, 2912, 63, 76, 170, 58, 69, 0, 0, 0, 0, 0
1.487700, 61284, 58881, 25881, 0, 1189, 1456, 66, 76, 170, 58, 69, 0, 0, 0, 0, 0
1.488112, 61253, 58912, 25870, 0, 1089, 355, 66, 76, 170, 60, 69, 0, 0, 0, 0, 0
1.488975, 61144, 59006, 25859, 0, 1256, 0, 63, 76, 170, 60, 69, 0, 0, 0, 0, 0
1.489444, 61107, 59035, 25859, 0, 1334, 0, 63, 76, 170, 60, 69, 0, 0, 0, 0, 0
1.489878, 61070, 59063, 25860, 0, 1367, 0, 63, 76, 170, 58, 69, 0, 0, 0, 0, 0
1.490345, 61001, 59115, 25861, 0, 1456, 0, 63, 76, 170, 58, 69, 0, 0, 0, 0, 0
1.490795, 60971, 59137, 25862, 0, 1511, 0, 66, 76, 170, 60, 69, 0, 0, 0, 0, 0
1.491328, 60944, 59154, 25860, 0, 1723, 0, 63, 76, 170, 58, 69, 0, 0, 0, 0, 0
1.491724, 60921, 59168, 25855, 0, 1878, 155, 66, 76, 170, 60, 69, 0, 0, 0, 0, 0
1.492186, 60884, 59181, 25839, 0, 2401, 1178, 66, 76, 170, 60, 69, 0, 0, 0, 0, 0
1.493591, 60834, 59177, 25777, 0, 2945, 2834, 66, 76, 168, 60, 69, 0, 0, 0, 0, 0
1.494026, 60825, 59174, 25755, 0, 2979, 3235, 66, 76, 168, 60, 69, 0, 0, 0, 0, 0
1.494521, 60816, 59171, 25733, 0, 2868, 3323, 66, 76, 170, 60, 69, 0, 0, 0, 0, 0
1.495443, 60790, 59177, 25671, 0, 2190, 2823, 66, 76, 168, 60, 66, 0, 0, 0, 0, 0
