time, yaw, pitch, roll, gx, gy, gz, f1, f2, f3, f4, f5, p1, p2, p3, p4, p5
1.479054, 8361, 51065, 30533, 1723, 355, 0, 102, 129, 206, 111, 135, 0, 0, 0, 0, 0
1.479516, 8369, 51058, 30544, 1700, 555, 0, 102, 129, 206, 111, 135, 0, 0, 0, 0, 0
1.479957, 8376, 51050, 30553, 1600, 722, 0, 102, 129, 206, 114, 135, 0, 0, 0, 0, 0
1.480438, 8385, 51040, 30560, 1489, 989, 0, 102, 129, 203, 114, 135, 0, 0, 0, 0, 0
1.480861, 8404, 51010, 30567, 1378, 1534, 600, 102, 129, 206, 114, 135, 0, 0, 0, 0, 0
1.481320, 8414, 50992, 30567, 1322, 1711, 922, 102, 129, 203, 114, 135, 0, 0, 0, 0, 0
1.481748, 8425, 50974, 30566, 1300, 1845, 1211, 102, 129, 206, 114, 135, 0, 0, 0, 0, 0
1.482167, 8450, 50930, 30560, 1389, 2056, 1723, 102, 129, 203, 114, 135, 0, 0, 0, 0, 0
1.482673, 8464, 50906, 30556, 1523, 2101, 1845, 102, 129, 206, 114, 135, 0, 0, 0, 0, 0
1.483081, 8479, 50882, 30551, 1656, 2078, 1923, 102, 132, 203, 114, 135, 0, 0, 0, 0, 0
1.483602, 8509, 50834, 30544, 1900, 1845, 1645, 102, 129, 203, 114, 135, 0, 0, 0, 0, 0
1.484017, 8524, 50810, 30542, 2023, 1723, 1356, 102, 129, 203, 114, 135, 0, 0, 0, 0, 0
1.484434, 8539, 50786, 30542, 2167, 1678, 978, 102, 129, 206, 114, 135, 0, 0, 0, 0, 0
1.484864, 8554, 50763, 30545, 2301, 1623, 544, 102, 129, 203, 116, 135, 0, 0, 0, 0, 0
1.485294, 8583, 50713, 30559, 2534, 1634, 0, 102, 129, 203, 114, 133, 0, 0, 0, 0, 0
1.488321, 8713, 50471, 30665, 2423, 2490, 0, 99, 129, 200, 111, 133, 0, 0, 0, 0, 0
1.490691, 8795, 50281, 30665, 544, 2545, 1767, 99, 127, 200, 114, 133, 0, 0, 0, 0, 0
1.491128, 8805, 50255, 30655, 311, 2456, 2167, 99, 127, 200, 114, 133, 0, 0, 0, 0, 0
1.491557, 8825, 50207, 30630, 88, 2278, 2868, 96, 129, 200, 114, 133, 0, 0, 0, 0, 0
1.491986, 8835, 50182, 30616, 111, 2312, 3123, 96, 129, 200, 116, 133, 0, 0, 0, 0, 0
1.492414, 8847, 50157, 30601, 222, 2401, 3323, 99, 129, 203, 116, 133, 0, 0, 0, 0, 0
1.495287, 8976, 49938, 30498, 1489, 2178, 4413, 99, 129, 203, 119, 133, 0, 0, 0, 0, 0
1.495722, 8994, 49920, 30483, 1411, 1745, 4713, 99, 129, 203, 119, 133, 0, 0, 0, 0, 0
1.496731, 9037, 49896, 30433, 855, 511, 5224, 99, 132, 203, 121, 133, 0, 0, 0, 0, 0
1.497120, 9050, 49895, 30412, 722, 255, 5625, 96, 132, 203, 121, 133, 0, 0, 0, 0, 0
1.497643, 9075, 49902, 30364, 622, 0, 6781, 99, 132, 206, 126, 133, 0, 0, 0, 0, 0
1.498032, 9088, 49908, 30335, 578, 0, 7381, 99, 132, 206, 128, 133, 0, 0, 0, 0, 0
1.498474, 9102, 49915, 30303, 478, 0, 8170, 96, 132, 208, 131, 133, 0, 0, 0, 0, 0
1.498891, 9127, 49939, 30227, 144, 0, 9560, 99, 132, 211, 136, 133, 0, 0, 0, 0, 0
1.499306, 9140, 49949, 30182, 0, 0, 10460, 99, 132, 211, 138, 133, 0, 0, 0, 0, 0
