time, note, velocity
2.290608, 60, 73
2.716263, 62, 83
2.769019, 60, 0
3.137162, 64, 86
3.165133, 62, 0
3.582372, 65, 82
3.865224, 64, 0
4.021088, 67, 83
4.059103, 65, 0
4.447156, 69, 82
4.469026, 67, 0
4.871215, 71, 78
4.953116, 69, 0
5.311164, 72, 87
5.358214, 71, 0
5.747764, 71, 69
5.777072, 72, 0
6.181185, 69, 78
6.282095, 71, 0
6.619112, 67, 85
6.639090, 69, 0
7.025759, 65, 85
7.030184, 67, 0
7.452958, 64, 83
7.639076, 65, 0
7.881982, 64, 0
7.882841, 62, 75
8.309095, 60, 91
8.325990, 62, 0
8.751032, 62, 81
8.780856, 60, 0
9.163927, 64, 76
9.185938, 62, 0
9.579141, 64, 0
9.594928, 65, 77
9.979065, 67, 77
10.009063, 65, 0
10.408901, 69, 74
10.424949, 67, 0
10.810267, 71, 69
10.822848, 69, 0
11.229843, 72, 80
11.264963, 71, 0
11.656877, 71, 74
11.687954, 72, 0
12.076700, 69, 68
12.143094, 71, 0
12.494753, 67, 65
12.535999, 69, 0
12.897335, 65, 75
12.916879, 67, 0
13.318236, 64, 81
13.387826, 65, 0
13.736929, 62, 73
13.776789, 64, 0
14.155764, 60, 86
14.174914, 62, 0
14.565886, 62, 78
14.602607, 60, 0
14.989214, 64, 73
15.007820, 62, 0
15.359114, 64, 0
15.370778, 65, 71
15.772601, 67, 74
15.787760, 65, 0
16.194154, 69, 72
16.214936, 67, 0
16.598792, 71, 80
16.601640, 69, 0
17.039765, 72, 78
17.065901, 71, 0
17.469090, 71, 82
17.516095, 72, 0
17.872796, 69, 69
17.885799, 71, 0
18.297029, 67, 78
18.311506, 69, 0
18.678602, 65, 83
18.679540, 67, 0
19.060593, 64, 83
19.128668, 65, 0
19.474211, 62, 76
19.488830, 64, 0
19.911688, 60, 86
19.924635, 62, 0
20.334264, 62, 73
20.375651, 60, 0
20.735027, 64, 78
20.759547, 62, 0
21.145963, 65, 80
21.147505, 64, 0
21.543645, 67, 75
21.572587, 65, 0
21.943868, 69, 78
21.956613, 67, 0
22.362116, 71, 82
22.376618, 69, 0
22.776989, 72, 91
22.808438, 71, 0
23.206920, 71, 82
23.231689, 72, 0
23.620931, 69, 77
23.671567, 71, 0
24.022944, 67, 75
24.042653, 69, 0
24.413457, 67, 0
24.414858, 65, 85
24.801576, 64, 79
24.846462, 65, 0
25.206224, 62, 73
25.226380, 64, 0
25.627434, 62, 0
25.628909, 60, 87
26.051403, 62, 72
26.091335, 60, 0
26.444394, 64, 68
26.463373, 62, 0
26.825444, 64, 0
26.851392, 65, 75
27.264333, 67, 74
27.293430, 65, 0
27.666864, 69, 68
27.692482, 67, 0
28.063296, 71, 75
28.078435, 69, 0
28.466055, 72, 80
28.506423, 71, 0
28.887199, 71, 69
28.911389, 72, 0
29.296321, 69, 78
29.321307, 71, 0
29.717236, 67, 83
29.727393, 69, 0
30.138296, 67, 0
30.141397, 65, 80
30.537307, 64, 75
30.605195, 65, 0
30.945179, 62, 75
30.956282, 64, 0
31.371436, 60, 91
31.394311, 62, 0
31.781165, 62, 75
31.811121, 60, 0
32.190367, 64, 72
32.205306, 62, 0
32.544083, 64, 0
32.575253, 65, 71
32.956123, 67, 75
32.989344, 65, 0
33.369210, 69, 83
33.397296, 67, 0
33.767648, 71, 78
33.785324, 69, 0
34.166021, 72, 89
34.183457, 71, 0
34.574129, 71, 85
34.618170, 72, 0
34.980035, 69, 83
34.997210, 71, 0
35.384604, 67, 87
35.399092, 69, 0
35.801553, 65, 93
35.822026, 67, 0
36.213147, 64, 89
36.273128, 65, 0
36.610140, 62, 86
36.635184, 64, 0
37.032123, 60, 100
37.057059, 62, 0
37.434388, 62, 83
37.487085, 60, 0
37.861104, 64, 81
37.888091, 62, 0
38.257126, 64, 0
38.317593, 64, 52
38.317621, 65, 60
38.379251, 64, 0
38.671232, 67, 75
38.710030, 65, 0
39.069832, 69, 78
39.097866, 67, 0
39.456363, 71, 77
39.480979, 69, 0
39.854062, 72, 85
39.862769, 71, 0
40.255070, 71, 85
40.285008, 72, 0
40.672311, 69, 77
40.714864, 71, 0
41.070841, 67, 72
41.089719, 69, 0
41.484013, 65, 87
41.493841, 67, 0
41.890118, 64, 84
41.961733, 65, 0
42.290443, 62, 75
42.297851, 64, 0
42.706852, 62, 0
42.738768, 60, 78
43.150538, 62, 73
43.175899, 60, 0
43.550181, 64, 68
43.554896, 62, 0
43.910900, 64, 0
43.954800, 65, 82
44.365825, 67, 82
44.393907, 65, 0
44.733406, 69, 72
44.766850, 67, 0
45.131032, 71, 74
45.147041, 69, 0
45.532866, 72, 77
45.556742, 71, 0
45.923836, 71, 72
45.947970, 72, 0
46.321822, 69, 74
46.343701, 71, 0
46.706359, 67, 75
46.721720, 69, 0
47.138843, 67, 0
47.140552, 65, 77
47.542671, 64, 84
47.596638, 65, 0
47.969119, 62, 72
47.994767, 64, 0
48.388679, 62, 0
48.390718, 60, 76
48.824961, 62, 76
48.958579, 60, 0
49.278812, 64, 83
49.298684, 62, 0
49.714726, 64, 0
49.731469, 65, 45
49.740584, 64, 63
50.085683, 64, 0
50.197717, 67, 87
50.236468, 65, 0
50.578217, 69, 72
50.607711, 67, 0
51.000024, 71, 77
51.020521, 69, 0
51.455673, 72, 80
51.477748, 71, 0
51.896637, 71, 75
51.924543, 72, 0
52.329891, 69, 75
52.361449, 71, 0
52.781982, 67, 78
52.794783, 69, 0
53.272576, 65, 91
53.293472, 67, 0
53.728707, 64, 79
53.792558, 65, 0
54.194421, 62, 84
54.206685, 64, 0
54.683473, 60, 89
54.709851, 62, 0
55.188499, 62, 87
55.223843, 60, 0
55.688948, 64, 81
55.737506, 62, 0
56.193647, 64, 0
56.225424, 65, 78
56.704552, 67, 75
56.753278, 65, 0
57.200388, 69, 82
57.221335, 67, 0
57.678198, 71, 77
57.690244, 69, 0
58.166913, 72, 87
58.179319, 71, 0
58.634486, 71, 87
58.665333, 72, 0
59.090363, 69, 83
59.116238, 71, 0
59.540394, 67, 83
59.556294, 69, 0
60.008433, 65, 80
60.029261, 67, 0
60.481149, 64, 84
60.568281, 65, 0
60.943391, 62, 73
60.952118, 64, 0
61.471297, 60, 87
61.478188, 62, 0
61.963537, 62, 73
61.991406, 60, 0
62.437331, 64, 78
62.465141, 62, 0
62.906218, 64, 0
62.923196, 65, 65
63.356129, 67, 74
63.405189, 65, 0
63.831095, 69, 68
63.860148, 67, 0
64.280087, 71, 78
64.300294, 69, 0
64.772872, 72, 77
64.810125, 71, 0
65.211031, 71, 72
65.244191, 72, 0
65.673933, 69, 72
65.726158, 71, 0
66.146218, 69, 0
66.151682, 67, 77
66.616471, 65, 74
66.622185, 67, 0
67.056208, 64, 79
67.124993, 65, 0
67.524126, 62, 70
67.538094, 64, 0
68.012169, 60, 79
68.014072, 62, 0
68.495217, 62, 64
68.529094, 60, 0
68.999132, 64, 75
69.020164, 62, 0
69.420993, 64, 0
69.491419, 65, 75
69.942525, 67, 77
70.028101, 65, 0
70.396030, 69, 62
70.419801, 67, 0
70.826709, 71, 69
70.861995, 69, 0
71.303931, 72, 80
71.317873, 71, 0
71.737109, 71, 72
71.764039, 72, 0
72.196236, 69, 68
72.226093, 71, 0
72.668010, 67, 69
72.680026, 69, 0
73.140590, 65, 64
73.163944, 67, 0
73.608680, 64, 62
73.662199, 65, 0
74.086504, 62, 56
74.098832, 64, 0
74.571868, 60, 86
74.596787, 62, 0
75.040008, 62, 73
75.082901, 60, 0
75.496236, 64, 72
75.531909, 62, 0
75.916714, 64, 0
75.965833, 65, 69
76.405242, 67, 71
76.486789, 65, 0
76.862964, 69, 68
76.901836, 67, 0
77.328849, 71, 78
77.346934, 69, 0
77.808738, 72, 83
77.833667, 71, 0
78.254754, 71, 80
78.269929, 72, 0
78.728761, 69, 80
78.755648, 71, 0
79.192882, 67, 82
79.205664, 69, 0
79.657629, 65, 71
79.720607, 67, 0
80.109885, 64, 63
80.557599, 65, 0
80.579299, 62, 76
80.694712, 64, 0
81.051581, 60, 86
81.079582, 62, 0
81.539610, 62, 69
81.568718, 60, 0
81.997572, 64, 76
82.036524, 62, 0
82.401590, 64, 0
82.445840, 65, 77
82.900490, 67, 75
82.939537, 65, 0
83.325883, 69, 53
83.335631, 67, 0
83.786725, 71, 75
83.788380, 69, 0
84.233455, 72, 82
84.262526, 71, 0
84.681192, 71, 83
84.701465, 72, 0
85.145967, 69, 77
85.183902, 71, 0
85.590588, 67, 85
85.600574, 69, 0
86.042424, 65, 85
86.058385, 67, 0
86.497363, 64, 81
86.572374, 65, 0
86.953634, 62, 70
86.978418, 64, 0
87.418354, 60, 81
87.447611, 62, 0
87.875620, 62, 78
87.928420, 60, 0
88.312399, 64, 75
88.337458, 62, 0
88.751414, 64, 0
88.765484, 65, 80
89.216316, 67, 77
89.265533, 65, 0
89.673709, 69, 71
89.696165, 67, 0
90.116201, 71, 80
90.164237, 69, 0
90.579219, 72, 82
90.620347, 71, 0
91.039539, 71, 74
91.061338, 72, 0
91.485401, 69, 75
91.534472, 71, 0
91.921312, 67, 77
91.934276, 69, 0
92.369173, 65, 78
92.403199, 67, 0
92.826458, 64, 72
93.070573, 65, 0
93.301306, 62, 72
93.322375, 64, 0
93.763675, 60, 81
93.781343, 62, 0
94.260278, 62, 73
94.313137, 60, 0
94.684291, 64, 78
94.710244, 62, 0
95.115472, 65, 74
95.120230, 64, 0
95.599223, 67, 75
95.627101, 65, 0
96.068273, 69, 60
96.125147, 67, 0
96.493154, 71, 71
96.531258, 69, 0
96.930208, 72, 74
96.944329, 71, 0
97.374043, 71, 72
97.391043, 72, 0
97.799390, 69, 67
97.821198, 71, 0
98.217082, 67, 72
98.220963, 69, 0
98.598125, 65, 82
98.626962, 67, 0
98.954313, 64, 81
99.021058, 65, 0
99.310984, 62, 73
99.336067, 64, 0
99.667990, 62, 0
99.678984, 60, 91
100.020085, 62, 78
100.055141, 60, 0
100.360426, 64, 58
100.373177, 62, 0
100.661016, 64, 0
100.702228, 65, 85
101.048621, 67, 82
101.090908, 65, 0
101.365099, 69, 80
101.400919, 67, 0
101.701226, 71, 83
101.742874, 69, 0
102.023676, 72, 100
