note, finger
60, 0
62, 1
64, 2
65, 3
67, 0
69, 1
71, 2
72, 3
71, 2
69, 1
67, 0
65, 2
64, 1
62, 1
60, 1
62, 0
64, 1
65, 2
67, 3
69, 0
71, 1
72, 2
71, 1
69, 2
67, 2
65, 1
64, 1
62, 1
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 0
72, 1
71, 2
69, 2
67, 1
65, 0
64, 2
62, 1
60, 0
62, 1
64, 2
65, 1
67, 1
69, 2
71, 3
72, 4
71, 3
69, 2
67, 1
65, 2
64, 2
62, 1
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 4
71, 3
69, 2
67, 1
65, 2
64, 2
62, 1
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 4
71, 3
69, 2
67, 1
65, 2
64, 2
62, 0
60, 0
62, 1
64, 0
65, 0
67, 2
69, 2
71, 3
72, 4
71, 3
69, 2
67, 1
65, 0
64, 2
62, 1
60, 0
62, 1
64, 2
65, 0
67, 1
69, 2
71, 3
72, 4
71, 3
69, 2
67, 1
65, 0
64, 1
62, 1
60, 1
62, 0
64, 1
65, 2
67, 0
69, 1
71, 2
72, 2
71, 2
69, 1
67, 2
65, 2
64, 1
62, 0
60, 1
59, 1
62, 0
64, 1
65, 2
67, 0
69, 1
71, 2
72, 3
71, 2
69, 1
67, 2
65, 2
64, 1
62, 0
60, 1
62, 0
64, 1
65, 2
67, 0
69, 1
71, 2
72, 2
71, 2
69, 1
67, 2
65, 2
64, 1
62, 0
60, 1
62, 0
64, 1
65, 2
67, 3
69, 0
71, 1
72, 2
71, 1
69, 0
67, 2
65, 1
64, 0
62, 1
60, 1
62, 1
64, 2
65, 0
67, 1
69, 0
71, 0
72, 1
71, 3
69, 3
67, 2
65, 1
64, 0
62, 1
60, 1
62, 1
64, 2
65, 3
67, 0
69, 1
71, 2
72, 3
71, 2
69, 1
67, 2
65, 2
64, 1
62, 0
60, 1
62, 0
64, 1
65, 2
67, 3
69, 0
71, 1
72, 2
71, 1
69, 0
67, 2
65, 1
64, 1
62, 1
60, 0
