time, note, velocity
1.778727, 60, 89
2.363662, 62, 91
2.424660, 60, 0
3.044041, 64, 103
3.054714, 62, 0
3.752224, 65, 95
3.802613, 64, 0
4.421205, 67, 100
4.452591, 65, 0
5.083686, 69, 85
5.140631, 67, 0
5.842652, 71, 105
5.894862, 69, 0
6.545161, 69, 97
6.599516, 71, 0
7.236034, 67, 103
7.268536, 69, 0
7.930627, 65, 97
7.957619, 67, 0
8.613454, 64, 112
8.638386, 65, 0
9.291993, 65, 93
9.355451, 64, 0
9.930681, 67, 98
9.957347, 65, 0
10.581688, 69, 93
10.583409, 67, 0
11.215532, 71, 98
11.348491, 69, 0
11.855081, 72, 97
11.890450, 71, 0
12.501359, 72, 0
12.508321, 71, 100
13.166935, 69, 100
13.186372, 71, 0
13.803402, 67, 95
13.902549, 69, 0
14.460297, 65, 87
14.501390, 67, 0
15.019722, 64, 86
15.047429, 65, 0
15.631449, 62, 79
15.653495, 64, 0
16.267202, 60, 91
16.293248, 62, 0
16.885328, 62, 87
16.918349, 60, 0
17.507450, 64, 97
17.515144, 62, 0
18.120363, 65, 82
18.158249, 64, 0
18.724257, 65, 0
18.730125, 67, 83
19.329258, 69, 85
19.383258, 67, 0
19.905658, 71, 93
19.913283, 69, 0
20.517604, 72, 93
20.557116, 71, 0
21.114558, 71, 95
21.150148, 72, 0
21.728181, 69, 91
21.746058, 71, 0
22.340169, 67, 93
22.362012, 69, 0
22.905762, 65, 85
23.293115, 67, 0
23.464334, 64, 86
23.486137, 65, 0
24.006006, 62, 86
24.019941, 64, 0
24.533235, 60, 97
24.617444, 62, 0
25.053832, 62, 87
25.104959, 60, 0
25.542977, 64, 89
25.635065, 62, 0
25.979663, 65, 80
26.005039, 64, 0
26.374904, 67, 91
26.429197, 65, 0
26.745000, 67, 0
26.746343, 69, 87
27.131988, 71, 87
27.208837, 69, 0
27.514424, 72, 100
27.552062, 71, 0
27.899737, 71, 98
27.909065, 72, 0
28.283489, 69, 91
28.297806, 71, 0
28.667850, 67, 78
28.837683, 69, 0
