finger_increment, note_increment
1, 1
-1, 1
1, 1
1, 1
1, 1
1, 1
-1, -1
-1, -1
-1, -1
-1, -1
1, 1
1, 1
-2, 1
1, 1
1, 1
-1, -1
1, -1
0, -1
-1, -1
-1, -1
1, -1
-1, -1
1, 1
1, 1
1, 1
-2, 1
0, 1
1, 1
1, 1
-1, -1
-1, -1
-1, -1
2, -1
-1, -1
-1, -1
1, -1
-1, 1
1, 1
1, 1
1, 1
-3, 1
1, 1
1, 1
-1, -1
2, -1
0, -1
-1, -1
-1, -1
-1, -1
1, -1
-1, 1
1, 1
1, 1
-2, 1
1, 1
1, 1
1, 1
-1, -1
-1, -1
-1, -1
2, -1
-1, -1
-1, -1
1, -1
-1, 1
1, 1
1, 1
-2, 1
1, 1
1, 1
1, 1
-1, -1
-1, -1
-1, -1
2, -1
-1, -1
-1, -1
1, -1
-1, 1
1, 1
-1, 1
1, 1
1, 1
1, 1
1, 1
-1, -1
-1, -1
-1, -1
-1, -1
2, -1
-1, -1
-1, -1
1, 1
1, 1
1, 1
-3, 1
1, 1
1, 1
1, 1
-1, -1
-1, -1
1, -1
0, -1
-1, -1
-1, -1
1, -1
-1, 1
1, 1
1, 1
-2, 1
0, 1
1, 1
1, 1
-1, -1
-1, -1
2, -1
-1, -1
-1, -1
1, -1
-1, -1
1, 1
1, 1
1, 1
-3, 1
1, 1
1, 1
1, 1
-1, -1
-1, -1
-1, -1
2, -1
-1, -1
-1, -1
1, -1
-1, 1
1, 1
1, 1
1, 1
-2, 1
0, 1
1, 1
-1, -1
-1, -1
3, -1
-1, -1
-1, -1
-1, -1
1, -1
1, 1
1, 1
1, 1
-1, -1
-1, -1
-1, -1
1, 1
1, 1
1, 1
-1, -1
-1, -1
-1, -1
