time, yaw, pitch, roll, gx, gy, gz, f1, f2, f3, f4, f5, p1, p2, p3, p4, p5
1.470650, 41720, 50997, 28200, 0, 0, 6425, 81, 164, 173, 109, 157, 0, 0, 0, 0, 0
1.471111, 41703, 51033, 28153, 0, 0, 6725, 84, 164, 176, 109, 154, 0, 0, 0, 0, 0
1.471577, 41687, 51070, 28106, 0, 0, 7170, 81, 161, 176, 106, 154, 0, 0, 0, 0, 0
1.472034, 41658, 51136, 28006, 0, 0, 8059, 81, 161, 176, 109, 154, 0, 0, 0, 0, 0
1.472445, 41645, 51164, 27951, 0, 0, 8793, 84, 161, 176, 109, 152, 0, 0, 0, 0, 0
1.472885, 41632, 51189, 27892, 0, 0, 9527, 84, 159, 176, 109, 152, 0, 0, 0, 0, 0
1.473321, 41620, 51213, 27827, 0, 0, 10505, 81, 159, 176, 109, 152, 0, 0, 0, 0, 0
1.473786, 41595, 51260, 27676, 0, 66, 13195, 84, 159, 176, 109, 152, 0, 0, 0, 0, 0
1.474274, 41582, 51282, 27586, 0, 555, 14974, 84, 159, 176, 109, 152, 0, 0, 0, 0, 0
1.474659, 41568, 51303, 27485, 0, 1011, 16975, 84, 156, 176, 109, 152, 0, 0, 0, 0, 0
1.475086, 41538, 51342, 27237, 0, 2056, 22167, 84, 156, 176, 109, 152, 0, 0, 0, 0, 0
1.475603, 41522, 51361, 27089, 0, 2367, 24957, 84, 156, 176, 109, 152, 0, 0, 0, 0, 0
1.476128, 41505, 51381, 26925, 0, 2367, 27458, 84, 156, 176, 109, 152, 0, 0, 0, 0, 0
1.476565, 41468, 51436, 26562, 0, 1667, 31594, 84, 156, 176, 109, 152, 0, 0, 0, 0, 0
1.476999, 41448, 51468, 26368, 0, 1523, 32817, 84, 156, 176, 109, 152, 0, 0, 0, 0, 0
1.477524, 41427, 51501, 26168, 0, 1278, 33739, 81, 152, 173, 104, 150, 0, 0, 0, 0, 0
1.477948, 41406, 51536, 25968, 0, 989, 34017, 81, 152, 173, 106, 150, 0, 0, 0, 0, 0
1.478397, 41363, 51610, 25579, 0, 22, 32628, 81, 152, 173, 104, 150, 0, 0, 0, 0, 0
1.478895, 41344, 51647, 25394, 0, 0, 31394, 81, 152, 173, 104, 150, 0, 0, 0, 0, 0
1.479408, 41326, 51684, 25222, 0, 0, 29481, 81, 152, 173, 104, 147, 0, 0, 0, 0, 0
1.479791, 41295, 51756, 24917, 0, 0, 24746, 81, 149, 173, 104, 150, 0, 0, 0, 0, 0
1.480222, 41282, 51789, 24788, 0, 0, 21966, 81, 149, 173, 106, 147, 0, 0, 0, 0, 0
1.480720, 41273, 51820, 24677, 0, 0, 18987, 81, 147, 173, 106, 147, 0, 0, 0, 0, 0
1.481163, 41257, 51882, 24512, 1056, 0, 12462, 81, 147, 173, 104, 145, 0, 0, 0, 0, 0
1.481629, 41252, 51915, 24457, 1478, 0, 9260, 81, 147, 173, 106, 147, 0, 0, 0, 0, 0
1.482073, 41248, 51947, 24419, 1845, 0, 6225, 81, 144, 173, 106, 147, 0, 0, 0, 0, 0
1.482544, 41244, 51979, 24396, 2089, 0, 3446, 81, 144, 173, 104, 147, 0, 0, 0, 0, 0
1.483039, 41242, 52033, 24389, 2512, 0, 0, 81, 142, 173, 106, 147, 0, 0, 0, 0, 0
