time, note, velocity
5.487179, 60, 76
5.874694, 60, 0
6.037745, 60, 79
6.409681, 60, 0
6.583437, 60, 110
6.974616, 60, 0
7.164562, 60, 115
7.558626, 60, 0
7.742141, 60, 112
8.161677, 60, 0
8.340679, 60, 86
8.708463, 60, 0
8.924568, 60, 81
9.329549, 60, 0
9.513089, 60, 81
9.900458, 60, 0
10.080530, 60, 97
10.460227, 60, 0
10.673367, 60, 115
11.060469, 60, 0
11.253273, 60, 118
11.693554, 60, 0
11.868371, 60, 120
12.284469, 60, 0
12.466327, 60, 108
12.945408, 60, 0
13.108474, 60, 87
13.508456, 60, 0
13.727911, 60, 79
14.117489, 60, 0
14.324236, 60, 78
14.700092, 60, 0
14.910498, 60, 73
15.264409, 60, 0
15.486309, 60, 97
15.875460, 60, 0
16.067744, 60, 118
16.474328, 60, 0
16.669258, 60, 118
17.092228, 60, 0
17.265786, 60, 118
17.692278, 60, 0
17.859268, 60, 115
18.297121, 60, 0
18.488110, 60, 97
18.919281, 60, 0
19.111758, 60, 86
19.515304, 60, 0
19.726209, 60, 103
20.284241, 60, 0
20.469180, 60, 93
21.065053, 60, 0
21.240688, 60, 100
21.849225, 60, 0
22.054168, 60, 97
22.659169, 60, 0
22.853973, 60, 103
23.473957, 60, 0
23.675082, 60, 103
24.303065, 60, 0
24.515421, 60, 98
25.232938, 60, 0
25.402047, 60, 95
25.958864, 60, 0
26.161139, 60, 97
26.644085, 60, 0
26.813022, 60, 97
27.288974, 60, 0
27.454019, 60, 91
27.913818, 60, 0
28.091756, 60, 95
28.499970, 60, 0
28.670787, 60, 108
29.106852, 60, 0
29.283772, 60, 105
29.715998, 60, 0
29.917053, 60, 110
30.339871, 60, 0
30.562906, 60, 103
30.979919, 60, 0
31.187692, 60, 97
31.647716, 60, 0
31.806313, 60, 108
32.280746, 60, 0
32.465927, 60, 98
32.917782, 60, 0
33.104645, 60, 79
33.572735, 60, 0
33.757653, 60, 76
34.154792, 60, 0
34.372760, 60, 57
34.806762, 60, 0
35.001569, 60, 68
35.452564, 60, 0
35.648885, 60, 68
36.098557, 60, 0
36.291893, 60, 66
36.693765, 60, 0
36.919692, 60, 66
37.300659, 60, 0
37.573908, 60, 70
37.991415, 60, 0
38.213414, 60, 66
38.633395, 60, 0
38.857592, 60, 70
39.240666, 60, 0
39.446035, 60, 84
39.852450, 60, 0
40.062540, 60, 95
40.500427, 60, 0
40.711555, 60, 91
41.122624, 60, 0
41.380464, 60, 95
42.628466, 60, 0
