time, yaw, pitch, roll, gx, gy, gz, f1, f2, f3, f4, f5, p1, p2, p3, p4, p5
0.022094, 12494, 45912, 24311, 0, 956, 0, 81, 80, 130, 102, 133, 0, 0, 0, 0, 0
0.022588, 12483, 45914, 24295, 0, 844, 0, 81, 80, 130, 102, 133, 0, 0, 0, 0, 0
0.024865, 12478, 45915, 24290, 0, 733, 0, 81, 80, 132, 102, 133, 0, 0, 0, 0, 0
0.030877, 12474, 45917, 24286, 0, 578, 0, 81, 80, 130, 102, 135, 0, 0, 0, 0, 0
0.038314, 12468, 45922, 24285, 0, 289, 0, 81, 80, 130, 102, 133, 0, 0, 0, 0, 0
0.044476, 12467, 45926, 24288, 0, 66, 0, 81, 83, 130, 102, 133, 0, 0, 0, 0, 0
0.050759, 12465, 45930, 24293, 0, 0, 0, 81, 80, 130, 102, 133, 0, 0, 0, 0, 0
0.057795, 12465, 45941, 24310, 0, 0, 0, 81, 80, 132, 102, 133, 0, 0, 0, 0, 0
0.063803, 12466, 45947, 24321, 88, 0, 0, 81, 80, 130, 102, 133, 0, 0, 0, 0, 0
0.069833, 12468, 45952, 24333, 177, 0, 0, 81, 80, 130, 102, 133, 0, 0, 0, 0, 0
0.083725, 12475, 45968, 24379, 500, 0, 0, 81, 80, 132, 102, 135, 0, 0, 0, 0, 0
0.089806, 12479, 45972, 24396, 622, 0, 0, 81, 80, 130, 102, 133, 0, 0, 0, 0, 0
0.095693, 12483, 45975, 24414, 744, 0, 0, 81, 80, 130, 99, 133, 0, 0, 0, 0, 0
0.102779, 12493, 45979, 24454, 1000, 0, 0, 81, 80, 132, 102, 133, 0, 0, 0, 0, 0
0.108963, 12499, 45981, 24477, 1122, 0, 0, 79, 78, 127, 97, 131, 0, 0, 0, 0, 0
0.114851, 12505, 45982, 24500, 1211, 0, 0, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.121460, 12511, 45983, 24526, 1289, 0, 0, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.128595, 12525, 45989, 24585, 1345, 0, 0, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.134502, 12532, 45994, 24617, 1311, 0, 0, 79, 78, 130, 99, 131, 0, 0, 0, 0, 0
0.140622, 12539, 46000, 24651, 1245, 0, 0, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.147764, 12551, 46019, 24724, 967, 0, 0, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.154712, 12557, 46030, 24763, 822, 0, 0, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.160459, 12562, 46043, 24802, 644, 0, 0, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.167731, 12570, 46069, 24881, 400, 0, 0, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.173757, 12573, 46084, 24921, 211, 0, 0, 79, 78, 127, 97, 133, 0, 0, 0, 0, 0
0.179681, 12576, 46097, 24961, 77, 0, 0, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.185886, 12579, 46110, 25002, 0, 0, 0, 79, 78, 130, 99, 131, 0, 0, 0, 0, 0
0.193769, 12582, 46131, 25082, 0, 0, 0, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.199720, 12583, 46138, 25121, 0, 0, 0, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.205460, 12582, 46143, 25158, 0, 0, 0, 81, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.212751, 12581, 46143, 25230, 0, 111, 0, 79, 78, 130, 99, 133, 0, 0, 0, 0, 0
0.218752, 12579, 46137, 25264, 0, 611, 0, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.225661, 12576, 46128, 25297, 0, 1189, 0, 79, 80, 127, 99, 131, 0, 0, 0, 0, 0
0.232716, 12571, 46099, 25358, 0, 2334, 0, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.238458, 12567, 46080, 25385, 0, 2868, 0, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.244730, 12562, 46058, 25411, 0, 3412, 0, 79, 78, 130, 99, 131, 0, 0, 0, 0, 0
0.250769, 12557, 46032, 25433, 0, 3935, 0, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.258646, 12545, 45973, 25464, 0, 4891, 0, 79, 80, 127, 97, 133, 0, 0, 0, 0, 0
0.264533, 12538, 45939, 25474, 0, 5258, 0, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.270725, 12531, 45904, 25481, 0, 5569, 0, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.277618, 12516, 45835, 25484, 0, 5669, 0, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.283737, 12507, 45802, 25481, 0, 5525, 0, 79, 78, 130, 99, 133, 0, 0, 0, 0, 0
0.289744, 12498, 45773, 25476, 0, 5280, 0, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.296646, 12489, 45747, 25468, 0, 4924, 0, 79, 78, 130, 99, 131, 0, 0, 0, 0, 0
0.303600, 12470, 45705, 25447, 0, 4124, 0, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.309735, 12460, 45689, 25437, 0, 3657, 0, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.315729, 12452, 45676, 25427, 0, 3168, 0, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.322790, 12438, 45656, 25415, 0, 2123, 0, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.329665, 12433, 45651, 25413, 0, 1645, 0, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.335662, 12429, 45648, 25414, 0, 1178, 0, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.342649, 12425, 45647, 25420, 0, 422, 0, 79, 78, 130, 99, 133, 0, 0, 0, 0, 0
0.348806, 12424, 45649, 25425, 0, 188, 0, 81, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.354765, 12425, 45650, 25429, 0, 0, 411, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.360784, 12426, 45653, 25432, 0, 0, 911, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.368528, 12431, 45658, 25435, 0, 0, 1823, 79, 78, 130, 99, 131, 0, 0, 0, 0, 0
0.374554, 12435, 45660, 25435, 0, 0, 2178, 81, 78, 130, 99, 133, 0, 0, 0, 0, 0
0.380705, 12439, 45662, 25435, 244, 0, 2401, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.387845, 12450, 45666, 25436, 878, 0, 2490, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.393780, 12456, 45668, 25439, 1211, 0, 2323, 79, 78, 130, 99, 131, 0, 0, 0, 0, 0
0.400703, 12464, 45670, 25445, 1556, 0, 2056, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.407684, 12483, 45674, 25467, 2190, 0, 1334, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.413709, 12495, 45677, 25485, 2456, 0, 944, 81, 78, 130, 99, 133, 0, 0, 0, 0, 0
0.425736, 12522, 45685, 25530, 2857, 0, 166, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.433630, 12552, 45696, 25589, 3123, 0, 0, 79, 80, 127, 99, 133, 0, 0, 0, 0, 0
0.439696, 12567, 45702, 25621, 3257, 0, 0, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.445725, 12584, 45707, 25656, 3379, 0, 0, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.452759, 12618, 45714, 25728, 3624, 0, 0, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.458755, 12636, 45716, 25766, 3679, 0, 0, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.464754, 12653, 45716, 25803, 3646, 0, 0, 79, 78, 130, 99, 131, 0, 0, 0, 0, 0
0.472683, 12688, 45715, 25873, 3501, 0, 0, 79, 80, 127, 99, 133, 0, 0, 0, 0, 0
0.478717, 12704, 45713, 25905, 3390, 0, 0, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.484708, 12720, 45710, 25934, 3268, 0, 0, 79, 78, 130, 99, 131, 0, 0, 0, 0, 0
0.490749, 12735, 45707, 25961, 3168, 0, 0, 79, 78, 130, 97, 133, 0, 0, 0, 0, 0
0.497823, 12763, 45699, 26010, 2868, 0, 0, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.510690, 12788, 45695, 26051, 2423, 0, 0, 79, 78, 130, 99, 131, 0, 0, 0, 0, 0
0.518002, 12806, 45698, 26086, 1900, 0, 0, 81, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.523794, 12814, 45703, 26101, 1645, 0, 0, 79, 78, 130, 99, 133, 0, 0, 0, 0, 0
0.529546, 12820, 45709, 26115, 1400, 0, 0, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.536726, 12825, 45717, 26128, 1133, 0, 0, 79, 80, 127, 99, 131, 0, 0, 0, 0, 0
0.543688, 12830, 45733, 26146, 622, 0, 0, 79, 78, 130, 99, 131, 0, 0, 0, 0, 0
0.549715, 12831, 45742, 26151, 311, 0, 0, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.555555, 12831, 45748, 26153, 66, 0, 0, 79, 78, 130, 99, 131, 0, 0, 0, 0, 0
0.562765, 12827, 45759, 26146, 0, 0, 244, 79, 78, 130, 99, 133, 0, 0, 0, 0, 0
0.569676, 12824, 45761, 26141, 0, 0, 300, 79, 78, 130, 99, 131, 0, 0, 0, 0, 0
0.575661, 12822, 45760, 26134, 0, 177, 277, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.582735, 12818, 45748, 26120, 0, 711, 166, 79, 78, 130, 99, 131, 0, 0, 0, 0, 0
0.588600, 12816, 45741, 26112, 0, 900, 155, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.594843, 12813, 45733, 26103, 0, 1044, 177, 79, 78, 130, 99, 133, 0, 0, 0, 0, 0
0.608696, 12803, 45709, 26072, 0, 1211, 333, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.614516, 12799, 45702, 26061, 0, 1211, 300, 79, 78, 127, 97, 131, 0, 0, 0, 0, 0
0.620763, 12795, 45696, 26050, 0, 1145, 188, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.627876, 12785, 45689, 26031, 0, 944, 0, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.634639, 12780, 45688, 26024, 0, 867, 0, 79, 80, 127, 99, 131, 0, 0, 0, 0, 0
0.640685, 12775, 45688, 26017, 0, 867, 0, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.647703, 12766, 45686, 26009, 0, 933, 0, 81, 80, 127, 99, 131, 0, 0, 0, 0, 0
0.653597, 12762, 45683, 26006, 0, 967, 0, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.659758, 12759, 45680, 26003, 0, 1056, 0, 79, 78, 130, 99, 131, 0, 0, 0, 0, 0
0.665739, 12756, 45676, 26001, 0, 1100, 0, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.673721, 12750, 45666, 25995, 0, 1133, 0, 81, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.679774, 12747, 45660, 25992, 0, 1100, 0, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.685786, 12745, 45655, 25990, 0, 1022, 0, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.692756, 12743, 45645, 25992, 0, 811, 0, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.698872, 12742, 45641, 25996, 0, 700, 0, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.705456, 12741, 45638, 26001, 0, 566, 0, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.712730, 12742, 45632, 26018, 0, 333, 0, 79, 78, 130, 99, 131, 0, 0, 0, 0, 0
0.718585, 12743, 45629, 26027, 0, 233, 0, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.724720, 12745, 45626, 26037, 0, 133, 0, 79, 80, 130, 99, 133, 0, 0, 0, 0, 0
0.730774, 12747, 45624, 26047, 0, 44, 0, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.738863, 12750, 45619, 26066, 0, 0, 0, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.744816, 12752, 45617, 26074, 0, 0, 0, 79, 78, 130, 99, 131, 0, 0, 0, 0, 0
0.750819, 12753, 45617, 26080, 0, 0, 0, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.757858, 12755, 45616, 26089, 0, 0, 0, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.763893, 12755, 45617, 26090, 0, 0, 0, 79, 78, 130, 99, 131, 0, 0, 0, 0, 0
0.769881, 12754, 45619, 26090, 0, 0, 233, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.777735, 12751, 45624, 26084, 0, 0, 611, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.783775, 12749, 45626, 26079, 0, 0, 755, 81, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.789834, 12747, 45627, 26073, 0, 55, 889, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.795761, 12745, 45628, 26067, 0, 122, 1022, 79, 78, 130, 99, 133, 0, 0, 0, 0, 0
0.802788, 12741, 45629, 26052, 0, 300, 1145, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.809746, 12740, 45627, 26044, 0, 355, 1178, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.815748, 12739, 45625, 26036, 0, 366, 1256, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.822755, 12737, 45621, 26019, 0, 333, 1445, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.834754, 12735, 45618, 26002, 0, 200, 1689, 79, 78, 130, 99, 131, 0, 0, 0, 0, 0
0.842674, 12732, 45620, 25983, 0, 0, 1900, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.848574, 12731, 45622, 25972, 0, 0, 1945, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.854830, 12729, 45626, 25962, 0, 0, 1889, 81, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.860854, 12728, 45631, 25953, 0, 0, 1756, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.867930, 12725, 45643, 25940, 22, 0, 1189, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.874499, 12724, 45650, 25937, 166, 0, 844, 79, 80, 130, 99, 131, 0, 0, 0, 0, 0
0.880766, 12724, 45656, 25936, 300, 0, 478, 79, 78, 127, 99, 131, 0, 0, 0, 0, 0
0.887660, 12725, 45668, 25942, 600, 0, 0, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.893769, 12726, 45673, 25947, 689, 0, 0, 79, 80, 127, 99, 133, 0, 0, 0, 0, 0
0.899803, 12728, 45678, 25954, 722, 0, 0, 79, 78, 127, 99, 133, 0, 0, 0, 0, 0
0.907774, 12733, 45684, 25970, 689, 0, 0, 79, 78, 127, 97, 131, 0, 0, 0, 0, 0
