time, note, velocity
3.719500, 60, 62
4.163919, 62, 83
4.221423, 60, 0
4.606522, 64, 93
4.648131, 62, 0
5.086423, 65, 91
5.096595, 64, 0
5.568301, 67, 89
5.610369, 65, 0
6.015977, 69, 89
6.054238, 67, 0
6.461243, 71, 93
6.520405, 69, 0
6.926198, 71, 0
6.930563, 72, 98
7.413393, 74, 89
7.470348, 72, 0
7.856337, 76, 91
7.895113, 74, 0
8.337051, 77, 89
8.338066, 76, 0
8.808785, 79, 87
8.864219, 77, 0
9.257652, 81, 77
9.291277, 79, 0
9.720229, 83, 82
9.775254, 81, 0
10.186221, 84, 89
10.241403, 83, 0
10.644711, 83, 89
10.703289, 84, 0
11.122229, 81, 82
11.177267, 83, 0
11.583230, 79, 89
11.610233, 81, 0
12.036236, 77, 85
12.073340, 79, 0
12.505376, 76, 83
12.580129, 77, 0
12.968477, 74, 87
12.997120, 76, 0
13.412440, 72, 91
13.418153, 74, 0
13.872027, 71, 85
13.924076, 72, 0
14.328084, 69, 80
14.367043, 71, 0
14.779139, 67, 82
14.813881, 69, 0
15.231222, 65, 83
15.248043, 67, 0
15.709274, 64, 86
15.769972, 65, 0
16.157087, 62, 83
16.185897, 64, 0
16.595775, 60, 97
16.645778, 62, 0
17.091035, 62, 79
17.132015, 60, 0
17.560068, 64, 78
17.590003, 62, 0
18.011975, 64, 0
18.031986, 65, 85
18.483817, 67, 78
18.543021, 65, 0
18.934150, 69, 74
18.970820, 67, 0
19.389490, 71, 77
19.445828, 69, 0
19.818944, 71, 0
19.839363, 72, 77
20.305760, 74, 83
20.370767, 72, 0
20.742056, 76, 82
20.766730, 74, 0
21.188830, 76, 0
21.200937, 77, 78
21.633809, 79, 77
21.675890, 77, 0
22.078716, 81, 75
22.127868, 79, 0
22.517783, 83, 82
22.552665, 81, 0
22.969167, 84, 93
23.027558, 83, 0
23.420320, 83, 82
23.474722, 84, 0
23.889833, 81, 82
23.961839, 83, 0
24.357722, 79, 87
24.383622, 81, 0
24.810577, 77, 83
24.844715, 79, 0
25.264577, 76, 78
25.331812, 77, 0
25.709659, 74, 74
25.740726, 76, 0
26.147892, 72, 89
26.158677, 74, 0
26.641063, 71, 85
26.701672, 72, 0
27.086693, 69, 80
27.134538, 71, 0
27.506952, 67, 91
27.523566, 69, 0
27.946426, 65, 82
27.999894, 67, 0
28.370795, 64, 84
28.429609, 65, 0
28.813487, 62, 83
28.836706, 64, 0
29.269915, 60, 95
29.288438, 62, 0
29.721730, 62, 79
29.785855, 60, 0
30.163714, 64, 84
30.191684, 62, 0
30.579440, 64, 0
30.588639, 65, 83
31.022409, 67, 80
31.077597, 65, 0
31.465510, 69, 78
31.507884, 67, 0
31.916517, 71, 91
31.968464, 69, 0
