time, yaw, pitch, roll, gx, gy, gz, f1, f2, f3, f4, f5, p1, p2, p3, p4, p5
1.499784, 7247, 46670, 22651, 0, 10094, 19054, 124, 152, 211, 153, 152, 0, 0, 0, 0, 0
1.500287, 7284, 46695, 22461, 0, 10327, 19499, 124, 154, 211, 153, 152, 0, 0, 0, 0, 0
1.500693, 7359, 46756, 22070, 0, 10716, 20432, 124, 154, 211, 153, 152, 0, 0, 0, 0, 0
1.501127, 7397, 46791, 21869, 0, 10883, 20933, 124, 152, 211, 153, 152, 0, 0, 0, 0, 0
1.502022, 7509, 46928, 21248, 0, 10961, 22289, 124, 154, 211, 153, 152, 0, 0, 0, 0, 0
1.502435, 7545, 46984, 21037, 0, 10872, 22489, 124, 154, 211, 153, 152, 0, 0, 0, 0, 0
1.502848, 7583, 47043, 20819, 0, 11261, 23478, 124, 154, 211, 153, 152, 0, 0, 0, 0, 0
1.503328, 7618, 47107, 20607, 0, 10772, 22845, 124, 152, 211, 153, 152, 0, 0, 0, 0, 0
1.503742, 7688, 47242, 20178, 0, 11316, 23111, 124, 154, 211, 153, 152, 0, 0, 0, 0, 0
1.504247, 7724, 47311, 19966, 0, 11272, 22934, 124, 154, 211, 153, 152, 0, 0, 0, 0, 0
1.504690, 7760, 47378, 19760, 0, 11250, 22356, 124, 154, 211, 153, 152, 0, 0, 0, 0, 0
1.505103, 7833, 47506, 19361, 0, 11528, 20933, 124, 154, 211, 153, 152, 0, 0, 0, 0, 0
1.505539, 7871, 47564, 19169, 0, 11761, 20088, 124, 152, 211, 153, 152, 0, 0, 0, 0, 0
1.505961, 7909, 47617, 18986, 0, 11839, 18709, 124, 154, 208, 153, 152, 0, 0, 0, 0, 0
1.506438, 7994, 47699, 18632, 0, 12928, 16352, 119, 149, 206, 148, 147, 0, 0, 0, 0, 0
1.506871, 8038, 47733, 18460, 0, 13818, 15041, 119, 149, 206, 148, 150, 0, 0, 0, 0, 0
1.507328, 8085, 47758, 18296, 0, 14385, 13395, 119, 149, 206, 148, 150, 0, 0, 0, 0, 0
1.507768, 8132, 47778, 18137, 0, 15096, 12284, 119, 149, 206, 148, 152, 0, 0, 0, 0, 0
1.508181, 8233, 47808, 17827, 0, 15986, 10594, 119, 152, 206, 148, 152, 0, 0, 0, 0, 0
