time, note, velocity
4.383782, 60, 73
6.238268, 62, 68
6.294691, 60, 0
6.907160, 65, 67
6.961706, 62, 0
7.420840, 64, 68
7.456607, 65, 0
7.909677, 67, 85
7.923695, 64, 0
8.458118, 62, 83
8.472667, 67, 0
9.033742, 65, 72
9.062686, 62, 0
9.664446, 64, 73
9.672681, 65, 0
10.503789, 60, 76
10.529463, 64, 0
12.681553, 62, 70
12.764660, 60, 0
13.286100, 65, 77
13.325703, 62, 0
13.776522, 64, 83
13.800401, 65, 0
14.340419, 67, 95
14.355400, 64, 0
15.052309, 62, 79
15.091231, 67, 0
15.726887, 64, 83
15.744557, 62, 0
16.260375, 65, 89
16.323254, 64, 0
16.845298, 67, 97
16.867353, 65, 0
18.586205, 67, 0
18.645086, 67, 103
19.325484, 69, 85
19.379191, 67, 0
20.018363, 67, 82
20.064271, 69, 0
20.526136, 65, 91
20.830158, 67, 0
20.988532, 65, 0
20.989396, 64, 87
21.507730, 67, 89
21.541388, 64, 0
22.938331, 67, 0
22.994220, 67, 105
23.634829, 69, 89
23.690292, 67, 0
24.180344, 67, 87
24.220945, 69, 0
24.643279, 65, 89
24.664485, 67, 0
25.117104, 64, 86
25.132186, 65, 0
25.684286, 67, 89
25.730122, 64, 0
27.208994, 67, 0
27.286918, 67, 82
27.910305, 69, 77
27.966948, 67, 0
28.577333, 71, 95
28.602992, 69, 0
29.130998, 69, 87
29.175842, 71, 0
29.613774, 67, 87
29.646928, 69, 0
30.164849, 65, 95
30.195971, 67, 0
30.794213, 67, 83
30.812759, 65, 0
31.343927, 64, 91
31.357820, 67, 0
31.908151, 65, 80
31.977942, 64, 0
32.495924, 67, 89
32.534917, 65, 0
33.065739, 69, 77
33.106737, 67, 0
33.717859, 69, 0
33.724680, 71, 75
34.380179, 72, 75
34.428679, 71, 0
35.257752, 74, 64
35.296659, 72, 0
36.935717, 74, 0
37.006148, 74, 74
37.726774, 77, 64
37.732550, 74, 0
38.493672, 76, 77
38.548755, 77, 0
39.081896, 72, 87
39.100482, 76, 0
39.568675, 76, 58
39.630520, 72, 0
40.067880, 74, 77
40.131542, 76, 0
40.575153, 71, 78
40.598621, 74, 0
41.047884, 74, 78
41.126521, 71, 0
41.563761, 72, 89
41.592719, 74, 0
42.171421, 71, 91
42.188542, 72, 0
42.751566, 69, 83
42.832488, 71, 0
43.251492, 67, 87
43.279528, 69, 0
43.711553, 65, 82
43.729469, 67, 0
44.199272, 69, 74
44.291506, 65, 0
44.798460, 67, 82
44.827324, 69, 0
45.298440, 71, 71
45.340238, 67, 0
45.886624, 69, 52
46.002288, 71, 0
46.593991, 72, 74
46.619363, 69, 0
47.122329, 67, 67
47.158325, 72, 0
47.639151, 71, 75
47.671307, 67, 0
48.100407, 69, 74
48.204308, 71, 0
48.620435, 72, 98
48.636131, 69, 0
49.135648, 65, 93
49.159476, 72, 0
49.726455, 71, 83
49.772335, 65, 0
50.338286, 69, 69
50.369263, 71, 0
51.037630, 72, 75
51.040114, 69, 0
51.819218, 67, 77
51.867240, 72, 0
52.714678, 71, 69
52.734045, 67, 0
53.644512, 69, 52
53.680185, 71, 0
54.856714, 72, 60
54.872132, 69, 0
56.982043, 71, 30
57.037913, 72, 0
57.466532, 69, 65
57.556051, 71, 0
57.924210, 67, 80
57.996111, 69, 0
58.383687, 65, 83
58.425933, 67, 0
58.873171, 64, 93
58.941075, 65, 0
59.421214, 62, 87
59.472885, 64, 0
60.556043, 67, 57
60.601871, 62, 0
62.571168, 67, 0
63.322104, 62, 35
63.796993, 64, 83
63.831793, 62, 0
64.238739, 65, 83
64.301777, 64, 0
64.709797, 65, 0
64.723571, 67, 77
65.197631, 69, 80
65.260785, 67, 0
65.715855, 71, 95
65.753742, 69, 0
66.246846, 69, 80
66.277837, 71, 0
66.850891, 67, 78
66.858667, 69, 0
67.915752, 72, 71
67.967576, 67, 0
69.168654, 72, 0
69.276616, 72, 68
69.292748, 71, 72
69.431787, 71, 0
69.822644, 74, 87
69.865638, 72, 0
70.417571, 72, 82
70.455505, 74, 0
70.904457, 71, 85
70.944514, 72, 0
71.360670, 72, 83
71.392452, 71, 0
71.826578, 72, 0
71.846945, 74, 77
72.317616, 76, 93
72.486446, 74, 0
72.868876, 77, 95
72.894573, 76, 0
74.194629, 76, 98
74.210393, 77, 0
74.809648, 79, 85
74.840325, 76, 0
75.442883, 77, 82
75.492624, 79, 0
75.949931, 76, 95
75.987586, 77, 0
76.440659, 77, 89
76.470436, 76, 0
76.932443, 79, 85
76.997402, 77, 0
77.390656, 81, 93
77.432369, 79, 0
78.054388, 76, 82
78.112430, 81, 0
79.298330, 74, 39
79.331624, 76, 0
80.694425, 74, 0
81.081259, 74, 69
81.818763, 76, 77
81.907257, 74, 0
82.315226, 77, 77
82.337482, 76, 0
82.796241, 77, 0
82.805296, 79, 91
83.271179, 81, 98
83.331064, 79, 0
83.737095, 83, 95
83.768385, 81, 0
84.222215, 84, 95
84.274032, 83, 0
84.743329, 83, 91
84.795165, 84, 0
85.411942, 81, 80
85.433889, 83, 0
85.924325, 79, 77
85.951970, 81, 0
86.368143, 77, 74
86.563325, 79, 0
86.821682, 76, 78
86.852113, 77, 0
87.277115, 79, 65
87.320917, 76, 0
87.812911, 77, 67
87.858359, 79, 0
88.420957, 74, 67
88.449916, 77, 0
88.930040, 77, 65
88.975847, 74, 0
89.420831, 76, 85
89.430937, 77, 0
89.896937, 74, 89
89.911881, 76, 0
90.348033, 72, 98
90.412861, 74, 0
90.859354, 71, 97
90.868861, 72, 0
91.367275, 72, 95
91.488832, 71, 0
91.946884, 74, 83
91.954841, 72, 0
92.517684, 77, 75
92.529820, 74, 0
93.209754, 76, 74
93.261845, 77, 0
93.890874, 72, 64
93.926827, 76, 0
94.453179, 76, 64
94.473712, 72, 0
95.009741, 74, 65
95.056888, 76, 0
95.675148, 71, 74
95.696631, 74, 0
96.363793, 69, 59
96.420766, 71, 0
97.095176, 71, 55
97.409541, 69, 0
98.908603, 71, 0
99.668892, 71, 50
100.581620, 72, 50
100.614484, 71, 0
101.163544, 74, 60
101.186384, 72, 0
101.746441, 72, 75
101.804676, 74, 0
102.278448, 71, 80
102.307641, 72, 0
102.793492, 72, 80
102.879543, 71, 0
103.328411, 74, 80
103.380540, 72, 0
104.027352, 72, 71
104.095614, 74, 0
104.731633, 76, 68
104.765531, 72, 0
105.365033, 74, 65
105.395385, 76, 0
105.906565, 77, 71
105.921504, 74, 0
106.396455, 76, 78
106.433452, 77, 0
106.903413, 72, 74
106.936460, 76, 0
107.399507, 76, 65
107.423326, 72, 0
107.942338, 74, 57
108.013412, 76, 0
108.570202, 71, 65
108.571132, 74, 0
109.237284, 69, 67
109.284266, 71, 0
109.784412, 71, 71
109.804224, 69, 0
110.291377, 72, 85
110.333700, 71, 0
110.741265, 71, 89
110.750065, 72, 0
111.206775, 69, 67
111.383282, 71, 0
111.644592, 67, 77
111.665183, 69, 0
112.108575, 65, 69
112.119283, 67, 0
112.592021, 64, 68
112.645260, 65, 0
113.101264, 62, 75
113.115439, 64, 0
113.557044, 64, 76
113.593164, 62, 0
114.019569, 65, 74
114.064114, 64, 0
114.475322, 64, 72
114.482328, 65, 0
114.955149, 62, 79
114.966193, 64, 0
115.389205, 64, 72
115.425166, 62, 0
115.803169, 65, 50
115.824040, 64, 0
116.274071, 65, 0
116.280037, 67, 72
116.801227, 69, 74
116.852128, 67, 0
117.261966, 71, 74
117.326303, 69, 0
117.737876, 71, 0
117.740163, 74, 80
118.367564, 72, 62
118.427879, 74, 0
118.928686, 69, 69
118.939875, 72, 0
119.386921, 71, 67
119.428891, 69, 0
119.819438, 67, 69
119.827774, 71, 0
120.347466, 65, 50
120.395049, 67, 0
120.819882, 64, 81
120.829019, 65, 0
121.298270, 62, 64
121.350999, 64, 0
121.771863, 64, 73
121.831940, 62, 0
122.191865, 65, 77
122.221787, 64, 0
122.633039, 64, 78
122.698893, 65, 0
123.085752, 62, 73
123.124911, 64, 0
123.508791, 64, 83
123.563784, 62, 0
123.896840, 65, 80
123.923735, 64, 0
124.378855, 65, 0
124.388957, 67, 78
124.811750, 69, 77
124.876842, 67, 0
125.263711, 71, 91
125.292815, 69, 0
125.756332, 74, 93
125.770649, 71, 0
127.812646, 74, 0
127.939689, 74, 83
128.561066, 69, 78
128.612841, 74, 0
129.068894, 72, 80
129.102611, 69, 0
129.530764, 71, 91
129.646694, 72, 0
129.991808, 67, 91
130.013611, 71, 0
130.482645, 65, 80
130.665682, 67, 0
130.934485, 64, 86
130.962516, 65, 0
131.398560, 62, 76
131.424525, 64, 0
131.851697, 64, 78
131.956803, 62, 0
132.251749, 65, 71
132.278468, 64, 0
132.724599, 67, 51
132.735609, 65, 0
133.176489, 69, 82
133.247553, 67, 0
133.620439, 71, 91
133.668664, 69, 0
134.114381, 74, 91
134.120377, 71, 0
135.988412, 74, 0
136.164492, 74, 85
136.780831, 69, 68
136.843518, 74, 0
