time, yaw, pitch, roll, gx, gy, gz, f1, f2, f3, f4, f5, p1, p2, p3, p4, p5
0.006360, 4930, 54430, 24552, 2434, 3323, 0, 204, 191, 255, 191, 190, 0, 0, 0, 0, 0
1.546417, 4941, 54397, 24560, 2990, 2178, 0, 204, 191, 255, 191, 188, 0, 0, 0, 0, 0
1.546863, 4949, 54370, 24582, 3379, 1000, 0, 206, 193, 255, 191, 190, 0, 0, 0, 0, 0
1.547297, 4958, 54337, 24669, 3790, 0, 0, 206, 191, 255, 191, 190, 0, 0, 0, 0, 0
1.547728, 4959, 54330, 24730, 3857, 0, 0, 206, 191, 255, 191, 188, 0, 0, 0, 0, 0
1.548268, 4959, 54328, 24799, 3835, 0, 0, 206, 191, 255, 191, 190, 0, 0, 0, 0, 0
1.548679, 4957, 54328, 24873, 3857, 0, 0, 204, 191, 255, 191, 188, 0, 0, 0, 0, 0
1.549114, 4953, 54336, 25021, 3679, 0, 0, 206, 191, 255, 191, 188, 0, 0, 0, 0, 0
1.549546, 4952, 54343, 25090, 3501, 0, 0, 206, 191, 255, 191, 188, 0, 0, 0, 0, 0
1.549994, 4952, 54352, 25151, 3257, 0, 0, 204, 188, 255, 191, 188, 0, 0, 0, 0, 0
1.550495, 4953, 54363, 25201, 2879, 0, 0, 204, 188, 255, 191, 190, 0, 0, 0, 0, 0
1.550900, 4956, 54393, 25269, 2045, 0, 0, 204, 188, 255, 191, 188, 0, 0, 0, 0, 0
1.551383, 4960, 54412, 25284, 1600, 0, 0, 204, 188, 255, 191, 188, 0, 0, 0, 0, 0
1.551960, 4962, 54436, 25290, 1178, 0, 200, 204, 188, 255, 189, 188, 0, 0, 0, 0, 0
1.552334, 4963, 54465, 25286, 678, 0, 1600, 204, 188, 255, 189, 188, 0, 0, 0, 0, 0
1.552742, 4962, 54537, 25262, 0, 0, 3368, 204, 188, 255, 191, 188, 0, 0, 0, 0, 0
1.553173, 4956, 54584, 25245, 0, 0, 3690, 196, 181, 255, 182, 181, 0, 0, 0, 0, 0
1.553607, 4948, 54638, 25225, 0, 0, 3868, 196, 181, 255, 182, 181, 0, 0, 0, 0, 0
1.554079, 4935, 54700, 25206, 0, 0, 3857, 196, 178, 255, 184, 181, 0, 0, 0, 0, 0
1.554474, 4901, 54843, 25171, 0, 0, 3112, 196, 178, 255, 182, 181, 0, 0, 0, 0, 0
1.554905, 4881, 54923, 25156, 0, 0, 2901, 196, 176, 255, 182, 181, 0, 0, 0, 0, 0
1.555888, 4840, 55089, 25137, 0, 0, 2234, 196, 174, 255, 182, 181, 0, 0, 0, 0, 0
1.556343, 4802, 55249, 25130, 0, 0, 1056, 196, 174, 255, 182, 181, 0, 0, 0, 0, 0
1.556797, 4785, 55326, 25134, 0, 0, 233, 198, 174, 255, 184, 181, 0, 0, 0, 0, 0
