time, yaw, pitch, roll, gx, gy, gz, f1, f2, f3, f4, f5, p1, p2, p3, p4, p5
0.009532, 3543, 65092, 31043, 9460, 0, 755, 56, 58, 67, 51, 40, 0, 0, 0, 0, 0
0.015444, 3590, 65082, 31037, 9327, 0, 600, 56, 61, 67, 48, 40, 0, 0, 0, 0, 0
0.021466, 3635, 65072, 31031, 9204, 0, 722, 56, 58, 67, 51, 40, 0, 0, 0, 0, 0
0.028513, 3724, 65049, 31014, 8849, 0, 1511, 56, 61, 67, 48, 40, 0, 0, 0, 0, 0
0.037848, 3767, 65033, 31001, 8693, 177, 2234, 56, 61, 67, 48, 40, 0, 0, 0, 0, 0
0.048597, 3894, 64962, 30938, 8682, 1100, 4491, 56, 61, 67, 48, 40, 0, 0, 0, 0, 0
0.054506, 3936, 64932, 30910, 8504, 1222, 4958, 56, 61, 67, 48, 40, 0, 0, 0, 0, 0
0.060511, 3976, 64903, 30882, 8359, 1156, 4902, 56, 61, 67, 48, 40, 0, 0, 0, 0, 0
0.066489, 4016, 64876, 30858, 8104, 889, 4268, 56, 61, 67, 51, 40, 0, 0, 0, 0, 0
0.073532, 4092, 64835, 30824, 7581, 0, 1978, 56, 61, 67, 48, 40, 0, 0, 0, 0, 0
0.079498, 4129, 64826, 30818, 7259, 0, 700, 56, 61, 65, 48, 42, 0, 0, 0, 0, 0
0.085495, 4164, 64824, 30818, 7025, 0, 0, 56, 61, 67, 48, 40, 0, 0, 0, 0, 0
0.093479, 4233, 64834, 30828, 6836, 0, 0, 56, 61, 67, 48, 40, 0, 0, 0, 0, 0
0.099488, 4268, 64843, 30834, 6814, 0, 0, 56, 61, 67, 48, 40, 0, 0, 0, 0, 0
0.105424, 4302, 64852, 30839, 6814, 0, 0, 53, 58, 62, 48, 38, 0, 0, 0, 0, 0
0.111803, 4336, 64859, 30841, 6792, 0, 0, 53, 58, 65, 46, 38, 0, 0, 0, 0, 0
0.118659, 4405, 64865, 30828, 6870, 0, 2123, 53, 58, 65, 48, 40, 0, 0, 0, 0, 0
0.124643, 4439, 64865, 30812, 6914, 0, 3301, 53, 58, 65, 46, 38, 0, 0, 0, 0, 0
0.130515, 4473, 64862, 30792, 6925, 0, 4246, 53, 58, 65, 46, 40, 0, 0, 0, 0, 0
0.136659, 4507, 64859, 30768, 7059, 0, 4969, 53, 58, 65, 46, 38, 0, 0, 0, 0, 0
0.143913, 4573, 64844, 30709, 6681, 0, 5925, 53, 58, 65, 46, 38, 0, 0, 0, 0, 0
0.150005, 4605, 64838, 30679, 6603, 0, 5880, 53, 58, 65, 46, 38, 0, 0, 0, 0, 0
0.156550, 4636, 64830, 30652, 6514, 0, 5358, 53, 58, 65, 46, 38, 0, 0, 0, 0, 0
0.163474, 4700, 64815, 30610, 6703, 0, 3412, 53, 58, 65, 46, 38, 0, 0, 0, 0, 0
0.169798, 4734, 64816, 30597, 6814, 0, 2223, 53, 58, 65, 46, 38, 0, 0, 0, 0, 0
0.182027, 4804, 64811, 30573, 7181, 0, 2145, 53, 58, 65, 48, 38, 0, 0, 0, 0, 0
0.188717, 4876, 64816, 30553, 7359, 0, 2412, 53, 58, 65, 48, 38, 0, 0, 0, 0, 0
0.194836, 4913, 64823, 30540, 7359, 0, 2923, 53, 58, 65, 46, 38, 0, 0, 0, 0, 0
0.200773, 4949, 64833, 30525, 7292, 0, 3479, 53, 58, 65, 46, 38, 0, 0, 0, 0, 0
0.208566, 5020, 64859, 30484, 7125, 0, 4657, 53, 58, 65, 48, 38, 0, 0, 0, 0, 0
0.214484, 5054, 64872, 30460, 7014, 0, 5102, 53, 58, 65, 46, 38, 0, 0, 0, 0, 0
0.220550, 5087, 64881, 30433, 6970, 0, 5436, 53, 58, 65, 48, 38, 0, 0, 0, 0, 0
0.226518, 5121, 64890, 30405, 6970, 0, 5580, 53, 58, 65, 48, 38, 0, 0, 0, 0, 0
0.233750, 5187, 64892, 30346, 6981, 0, 6003, 53, 58, 65, 48, 38, 0, 0, 0, 0, 0
0.239630, 5221, 64888, 30321, 6992, 0, 5080, 53, 58, 65, 48, 40, 0, 0, 0, 0, 0
0.245601, 5254, 64883, 30294, 7036, 0, 5380, 53, 58, 67, 48, 38, 0, 0, 0, 0, 0
0.251813, 5288, 64875, 30271, 7092, 0, 4702, 53, 58, 67, 48, 38, 0, 0, 0, 0, 0
0.258552, 5360, 64856, 30233, 7581, 0, 3835, 53, 58, 67, 48, 40, 0, 0, 0, 0, 0
0.265693, 5398, 64844, 30214, 7881, 0, 4024, 53, 58, 67, 48, 38, 0, 0, 0, 0, 0
0.271781, 5438, 64833, 30198, 8004, 0, 3713, 53, 58, 67, 51, 38, 0, 0, 0, 0, 0
0.278511, 5519, 64817, 30167, 8315, 0, 3412, 53, 58, 67, 51, 40, 0, 0, 0, 0, 0
0.284775, 5560, 64811, 30155, 8393, 0, 2968, 53, 58, 67, 51, 40, 0, 0, 0, 0, 0
0.290789, 5601, 64806, 30142, 8326, 0, 2823, 53, 58, 67, 48, 40, 0, 0, 0, 0, 0
0.303666, 5716, 64792, 30105, 7403, 0, 2879, 53, 58, 67, 51, 40, 0, 0, 0, 0, 0
0.309930, 5750, 64791, 30089, 6936, 0, 3435, 56, 58, 67, 51, 38, 0, 0, 0, 0, 0
0.315714, 5782, 64790, 30070, 6625, 0, 4046, 56, 58, 70, 51, 38, 0, 0, 0, 0, 0
0.323540, 5844, 64790, 30024, 6436, 0, 5058, 56, 61, 70, 51, 40, 0, 0, 0, 0, 0
0.329486, 5874, 64791, 29995, 6458, 0, 5847, 58, 63, 70, 51, 38, 0, 0, 0, 0, 0
0.335765, 5903, 64795, 29964, 6225, 0, 6225, 58, 63, 70, 53, 40, 0, 0, 0, 0, 0
0.341773, 5933, 64799, 29934, 6225, 0, 6147, 61, 66, 73, 53, 40, 0, 0, 0, 0, 0
0.348852, 5991, 64817, 29869, 6303, 0, 6948, 61, 68, 73, 53, 40, 0, 0, 0, 0, 0
0.354533, 6022, 64829, 29836, 6470, 0, 6725, 63, 68, 73, 53, 40, 0, 0, 0, 0, 0
0.360550, 6053, 64846, 29802, 6614, 0, 7270, 66, 71, 73, 53, 38, 0, 0, 0, 0, 0
0.367586, 6119, 64889, 29734, 7170, 0, 7070, 68, 73, 73, 53, 38, 0, 0, 0, 0, 0
0.374416, 6152, 64918, 29698, 7003, 0, 7626, 71, 76, 73, 55, 38, 0, 0, 0, 0, 0
0.380447, 6186, 64955, 29662, 7092, 0, 7381, 71, 78, 73, 55, 38, 0, 0, 0, 0, 0
0.386449, 6219, 64996, 29623, 6903, 0, 7526, 71, 78, 75, 55, 38, 0, 0, 0, 0, 0
0.393498, 6278, 65112, 29553, 5736, 0, 6570, 76, 80, 75, 58, 38, 0, 0, 0, 0, 0
0.399476, 6304, 65184, 29521, 5080, 0, 6614, 76, 80, 78, 58, 38, 0, 0, 0, 0, 0
0.405482, 6327, 65265, 29486, 4480, 0, 6981, 79, 83, 81, 60, 40, 0, 0, 0, 0, 0
0.411533, 6345, 65356, 29449, 3668, 0, 7581, 84, 85, 81, 60, 40, 0, 0, 0, 0, 0
0.418495, 6377, 21, 29371, 2879, 0, 8215, 86, 88, 86, 63, 38, 0, 0, 0, 0, 0
0.424509, 6390, 129, 29329, 2345, 0, 8359, 89, 90, 92, 68, 40, 0, 0, 0, 0, 0
0.430817, 6401, 240, 29289, 2145, 0, 8104, 91, 93, 97, 68, 40, 0, 0, 0, 0, 0
0.438731, 6427, 458, 29211, 2434, 0, 8148, 96, 95, 100, 72, 40, 0, 0, 0, 0, 0
0.450510, 6455, 663, 29126, 2957, 0, 8849, 104, 100, 111, 75, 42, 0, 0, 0, 0, 0
0.456454, 6472, 759, 29080, 3390, 0, 9138, 107, 102, 113, 77, 42, 0, 0, 0, 0, 0
0.463491, 6505, 940, 28985, 3601, 0, 9349, 112, 105, 116, 80, 42, 0, 0, 0, 0, 0
0.469601, 6523, 1029, 28941, 3690, 0, 8471, 114, 107, 119, 80, 42, 0, 0, 0, 0, 0
0.475513, 6542, 1117, 28899, 3813, 0, 8282, 119, 107, 122, 82, 45, 0, 0, 0, 0, 0
0.482466, 6583, 1299, 28818, 3957, 0, 7281, 122, 110, 124, 85, 45, 0, 0, 0, 0, 0
0.488693, 6606, 1392, 28782, 4191, 0, 6403, 124, 110, 124, 87, 47, 0, 0, 0, 0, 0
